Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME
1,12.040,12.040,3,12.190,12.190,2,12.100,12.100,4,12.390,12.390
1,9.600,21.650,3,9.650,21.840,2,9.570,21.680,4,9.630,22.030
2,9.420,31.080,3,9.360,31.210,1,9.380,31.060,4,9.400,31.440
2,9.430,40.520,3,9.440,40.650,1,9.430,40.490,4,9.370,40.810
2,9.530,50.050,3,9.450,50.100,1,9.470,49.970,4,9.410,50.220
1,9.360,59.420,3,9.450,59.560,2,9.500,59.480,4,9.480,59.710
1,9.290,1:08.710,3,9.330,1:08.890,2,9.260,1:08.740,4,9.300,1:09.010
1,9.350,1:18.060,3,9.420,1:18.320,2,9.460,1:18.210,4,9.420,1:18.440
2,9.580,1:27.650,3,9.510,1:27.830,1,9.300,1:27.520,4,9.580,1:28.030
