Shinichi TAGAMI POSITION,Shinichi TAGAMI LAP TIME,Shinichi TAGAMI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME
4,8.410,8.410,1,8.270,8.270,3,8.390,8.390,7,8.630,8.630,5,8.430,8.430,6,8.500,8.500,2,8.370,8.370
5,11.220,19.640,2,10.990,19.270,3,10.980,19.380,7,11.330,19.960,6,11.400,19.830,1,10.640,19.140,4,11.250,19.620
3,10.390,30.030,2,10.660,29.930,4,10.720,30.100,7,10.450,30.420,6,10.440,30.270,1,10.530,29.680,5,10.540,30.160
5,10.530,40.560,2,10.540,40.480,3,10.410,40.520,7,10.370,40.790,6,10.370,40.650,1,10.570,40.260,4,10.390,40.550
2,10.040,50.610,1,10.030,50.510,4,10.230,50.750,7,10.440,51.240,6,10.410,51.070,3,10.350,50.610,5,10.360,50.920
2,10.120,1:00.740,1,10.190,1:00.710,3,10.040,1:00.800,7,9.840,1:01.090,6,9.900,1:00.970,4,10.210,1:00.830,5,9.960,1:00.880
6,10.650,1:11.390,7,10.920,1:11.630,1,10.110,1:10.910,5,10.260,1:11.360,4,10.200,1:11.180,2,10.200,1:11.040,3,10.160,1:11.050
6,10.010,1:21.410,7,9.840,1:21.470,3,10.050,1:20.970,5,9.930,1:21.300,4,9.920,1:21.110,1,9.770,1:20.820,2,9.910,1:20.960
6,9.690,1:31.110,7,9.800,1:31.280,2,9.770,1:30.740,4,9.620,1:30.920,5,9.830,1:30.940,1,9.680,1:30.510,3,9.800,1:30.760
2,9.350,1:40.460,7,9.450,1:40.730,3,9.710,1:40.460,5,9.650,1:40.580,4,9.570,1:40.510,1,9.620,1:40.130,6,9.900,1:40.670
6,9.790,1:50.250,7,9.730,1:50.470,3,9.540,1:50.010,4,9.460,1:50.040,5,9.700,1:50.220,1,9.570,1:49.710,2,9.220,1:49.890
2,9.280,1:59.530,7,9.750,2:00.220,5,9.600,1:59.620,3,9.520,1:59.570,6,9.610,1:59.830,1,9.810,1:59.530,4,9.690,1:59.580
3,9.790,2:09.320,7,9.950,2:10.180,5,9.780,2:09.400,2,9.750,2:09.320,6,9.990,2:09.820,1,9.630,2:09.160,4,9.790,2:09.370
1,9.540,2:18.870,6,10.990,2:21.170,4,9.940,2:19.340,7,11.880,2:21.210,5,9.930,2:19.760,2,9.870,2:19.040,3,9.790,2:19.160
