Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Anne-Sophie DAVREUX POSITION,Anne-Sophie DAVREUX LAP TIME,Anne-Sophie DAVREUX ELAPSED TIME
1,8.78,8.78,3,8.98,8.98,5,9.04,9.04,4,8.99,8.99,2,8.89,8.89,6,9.11,9.11
2,13.06,21.84,4,13.11,22.09,6,13.27,22.31,1,12.85,21.84,3,13.07,21.96,5,13.09,22.20
1,11.89,33.73,2,11.72,33.81,6,11.86,34.17,4,12.15,33.99,3,11.95,33.91,5,11.88,34.08
1,11.76,45.49,2,11.78,45.59,6,11.92,46.09,4,11.86,45.85,3,11.80,45.71,5,11.89,45.97
1,12.07,57.56,2,12.07,57.66,6,11.87,57.96,3,11.84,57.69,4,12.10,57.81,5,11.91,57.88
2,10.47,1:08.03,3,10.44,1:08.10,4,10.18,1:08.14,1,10.24,1:07.93,5,10.36,1:08.17,6,10.35,1:08.23
3,10.28,1:18.31,4,10.30,1:18.40,1,9.94,1:18.08,2,10.28,1:18.21,5,10.37,1:18.54,6,10.43,1:18.66
3,9.93,1:28.24,4,9.93,1:28.33,2,10.15,1:28.23,1,9.93,1:28.14,5,9.92,1:28.46,6,9.89,1:28.55
2,10.32,1:38.56,4,10.48,1:38.81,3,10.43,1:38.66,1,10.26,1:38.40,5,10.36,1:38.82,6,10.60,1:39.15
2,10.29,1:48.85,3,10.14,1:48.95,4,10.46,1:49.12,1,10.36,1:48.76,5,10.43,1:49.25,6,10.18,1:49.33
1,10.28,1:59.13,3,10.32,1:59.27,4,10.36,1:59.48,2,10.47,1:59.23,5,10.30,1:59.55,6,10.39,1:59.72
1,9.85,2:08.98,3,9.90,2:09.17,5,10.22,2:09.70,2,9.76,2:08.99,4,9.74,2:09.29,6,10.07,2:09.79
2,9.97,2:18.95,4,10.06,2:19.23,5,10.60,2:20.30,1,9.85,2:18.84,3,9.84,2:19.13,6,10.67,2:20.46
2,9.90,2:28.841,4,10.11,2:29.335,5,11.08,2:31.378,1,9.93,2:28.763,3,10.02,2:29.145,6,11.04,2:31.494
