ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,CHO Ha-Ri POSITION,CHO Ha-Ri LAP TIME,CHO Ha-Ri ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME
4,10.15,10.15,2,10.06,10.06,3,10.13,10.13,5,10.36,10.36,1,9.95,9.95
4,12.69,22.84,3,12.66,22.72,2,12.41,22.54,5,12.63,22.99,1,12.49,22.44
3,11.62,34.46,4,11.76,34.48,2,11.82,34.36,5,11.66,34.65,1,11.80,34.24
1,10.66,45.12,2,10.98,45.46,5,25.43,59.79,3,10.92,45.57,4,22.28,56.52
1,10.94,56.06,2,10.70,56.16,5,17.30,1:17.09,3,10.66,56.23,4,15.80,1:12.32
1,11.54,1:07.60,2,11.64,1:07.80,5,13.60,1:30.69,3,11.70,1:07.93,4,11.62,1:23.94
1,10.76,1:18.36,2,10.73,1:18.53,5,11.92,1:42.61,3,10.71,1:18.64,4,11.39,1:35.33
1,10.47,1:28.83,2,10.47,1:29.00,5,11.94,1:54.55,3,10.49,1:29.13,4,11.41,1:46.74
1,10.16,1:38.99,2,10.13,1:39.13,5,12.04,2:06.59,3,10.14,1:39.27,4,11.50,1:58.24
1,10.23,1:49.22,2,10.22,1:49.35,5,13.52,2:20.11,3,10.24,1:49.51,4,13.13,2:11.37
1,10.28,1:59.50,2,10.17,1:59.52,5,12.31,2:32.42,3,10.02,1:59.53,4,11.73,2:23.10
3,10.35,2:09.85,2,9.79,2:09.31,5,11.87,2:44.29,1,9.33,2:08.86,4,11.80,2:34.90
3,10.57,2:20.42,2,9.85,2:19.16,5,11.92,2:56.21,1,9.86,2:18.72,4,11.93,2:46.83
3,10.76,2:31.176,2,10.28,2:29.434,0,,PEN,1,10.55,2:29.262,4,12.24,2:59.070
