Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,KIM Ye Jin POSITION,KIM Ye Jin LAP TIME,KIM Ye Jin ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
5,13.98,13.98,4,13.81,13.81,3,13.64,13.64,2,13.62,13.62,1,13.45,13.45
5,10.18,24.16,4,10.25,24.06,2,10.26,23.90,2,10.28,23.90,1,10.35,23.80
5,10.44,34.60,4,10.40,34.46,3,10.54,34.44,2,10.43,34.33,1,10.40,34.20
4,9.99,44.59,5,10.25,44.71,2,10.01,44.45,3,10.15,44.48,1,10.14,44.34
4,9.87,54.46,5,9.83,54.54,2,9.83,54.28,3,9.89,54.37,1,9.86,54.20
4,9.77,1:04.23,5,9.84,1:04.38,2,9.76,1:04.04,3,9.78,1:04.15,1,9.81,1:04.01
4,9.68,1:13.91,5,9.65,1:14.03,1,9.32,1:13.36,2,9.42,1:13.57,3,9.81,1:13.82
3,9.48,1:23.39,5,9.70,1:23.73,1,9.39,1:22.75,2,9.28,1:22.85,4,9.68,1:23.50
3,9.63,1:33.02,5,10.19,1:33.92,1,9.75,1:32.50,2,9.80,1:32.65,4,9.81,1:33.31
