BELGIUM POSITION,BELGIUM LAP TIME,BELGIUM ELAPSED TIME,GERMANY POSITION,GERMANY LAP TIME,GERMANY ELAPSED TIME,GREAT BRITAIN POSITION,GREAT BRITAIN LAP TIME,GREAT BRITAIN ELAPSED TIME,ITALY POSITION,ITALY LAP TIME,ITALY ELAPSED TIME
3,12.216,12.216,2,12.025,12.025,4,12.448,12.448,1,11.938,11.938
3,9.363,21.579,2,9.470,21.495,4,9.454,21.901,1,9.491,21.428
3,9.357,30.935,2,9.334,30.829,4,9.288,31.189,1,9.333,30.761
3,9.450,40.385,2,9.414,40.243,4,9.620,40.808,1,9.212,39.973
4,10.143,50.528,2,9.465,49.707,3,9.148,49.956,1,9.600,49.573
4,9.240,59.767,2,9.257,58.964,3,9.478,59.433,1,9.305,58.877
4,9.157,1:08.923,1,9.383,1:08.346,3,9.141,1:08.574,2,9.535,1:08.412
4,9.029,1:17.952,1,9.031,1:17.377,3,9.223,1:17.796,2,9.070,1:17.481
4,9.145,1:27.096,2,9.146,1:26.522,3,9.168,1:26.963,1,8.975,1:26.456
4,9.186,1:36.281,2,9.442,1:35.964,3,9.210,1:36.173,1,9.303,1:35.758
4,9.493,1:45.774,2,9.317,1:45.280,3,9.422,1:45.595,1,9.375,1:45.133
3,9.035,1:54.808,2,9.352,1:54.632,4,9.382,1:54.977,1,9.366,1:54.499
4,9.292,2:04.100,2,9.206,2:03.838,3,9.102,2:04.079,1,9.158,2:03.657
3,8.964,2:13.064,2,9.218,2:13.055,4,9.354,2:13.432,1,9.212,2:12.868
3,9.474,2:22.537,2,9.412,2:22.467,4,9.362,2:22.794,1,9.410,2:22.277
3,9.519,2:32.056,2,9.316,2:31.783,4,9.493,2:32.287,1,9.126,2:31.403
3,9.573,2:41.628,2,9.407,2:41.189,4,9.473,2:41.759,1,9.303,2:40.705
3,9.584,2:51.212,2,9.454,2:50.643,4,9.765,2:51.524,1,9.213,2:49.917
3,9.150,3:00.362,2,9.148,2:59.790,4,9.312,3:00.835,1,9.149,2:59.066
3,9.334,3:09.695,2,9.027,3:08.817,4,9.067,3:09.902,1,9.325,3:08.391
3,8.785,3:18.480,2,9.131,3:17.947,4,9.123,3:19.025,1,9.017,3:17.408
3,9.432,3:27.911,2,9.581,3:27.528,4,9.305,3:28.329,1,9.313,3:26.720
3,9.517,3:37.427,2,9.395,3:36.923,4,9.540,3:37.869,1,9.278,3:35.997
3,9.621,3:47.048,2,9.209,3:46.131,4,9.554,3:47.423,1,9.446,3:45.443
3,9.365,3:56.413,2,9.245,3:55.376,4,9.401,3:56.823,1,9.266,3:54.708
3,9.374,4:05.786,2,9.186,4:04.561,4,9.341,4:06.164,1,9.361,4:04.068
3,9.284,4:15.070,2,9.388,4:13.948,4,9.421,4:15.584,1,9.283,4:13.350
3,9.667,4:24.737,2,9.669,4:23.616,4,9.608,4:25.192,1,9.294,4:22.644
3,9.864,4:34.600,2,9.443,4:33.059,4,9.606,4:34.798,1,9.540,4:32.183
4,9.937,4:44.537,2,9.305,4:42.363,3,9.466,4:44.263,1,9.357,4:41.540
4,9.465,4:54.001,2,9.404,4:51.767,3,9.665,4:53.928,1,9.591,4:51.131
3,9.247,5:03.248,2,9.177,5:00.943,4,9.735,5:03.663,1,9.518,5:00.649
3,9.420,5:12.668,2,9.313,5:10.256,4,9.457,5:13.119,1,9.439,5:10.087
3,9.856,5:22.523,2,9.548,5:19.803,4,9.702,5:22.821,1,9.459,5:19.545
3,10.139,5:32.662,2,9.713,5:29.515,4,9.854,5:32.675,1,9.780,5:29.325
4,9.759,5:42.420,2,9.733,5:39.247,3,9.527,5:42.201,1,9.698,5:39.023
3,9.447,5:51.867,2,9.757,5:49.004,4,10.060,5:52.260,1,9.807,5:48.829
3,9.638,6:01.504,2,9.857,5:58.861,4,9.764,6:02.024,1,9.800,5:58.629
3,9.496,6:10.999,2,9.561,6:08.421,4,9.556,6:11.580,1,9.618,6:08.246
3,9.995,6:20.994,2,10.031,6:18.452,4,9.940,6:21.519,1,9.602,6:17.848
3,9.641,6:30.634,2,9.801,6:28.252,4,10.352,6:31.871,1,9.814,6:27.661
3,9.797,6:40.430,2,9.311,6:37.563,4,9.771,6:41.641,1,9.669,6:37.330
3,10.080,6:50.510,2,9.537,6:47.099,4,10.176,6:51.817,1,9.510,6:46.839
3,9.969,7:00.478,2,10.381,6:57.480,4,9.425,7:01.242,1,9.201,6:56.040
3,10.01,7:10.485,2,11.71,7:09.187,4,9.26,7:10.502,1,10.14,7:06.180
