Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Melanie de LANGE POSITION,Melanie de LANGE LAP TIME,Melanie de LANGE ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
1,7.162,7.162,2,7.210,7.210,4,7.684,7.684,3,7.649,7.649
1,9.700,16.862,2,9.796,17.005,4,10.067,17.751,3,9.841,17.489
1,9.808,26.669,2,9.738,26.743,4,9.689,27.440,3,9.475,26.963
1,9.848,36.517,3,9.863,36.605,4,9.916,37.355,2,9.626,36.589
2,10.23,46.740,3,10.65,47.253,4,9.95,47.299,1,10.15,46.736
