Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Agnieszka BAWERNA POSITION,Agnieszka BAWERNA LAP TIME,Agnieszka BAWERNA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME
3,17.04,17.04,2,16.90,16.90,1,16.68,16.68,0,,
3,13.72,30.76,2,13.78,30.68,1,13.74,30.43,0,,
3,12.91,43.68,2,12.85,43.54,1,13.04,43.47,0,,
1,10.57,54.26,2,10.77,54.31,3,10.87,54.34,0,,
1,9.98,1:04.24,2,10.00,1:04.31,3,10.06,1:04.41,0,,
1,10.12,1:14.36,2,10.13,1:14.44,3,10.11,1:14.53,0,,
1,10.04,1:24.40,2,9.99,1:24.43,3,10.00,1:24.53,0,,
1,9.91,1:34.31,2,9.91,1:34.34,3,9.97,1:34.51,0,,
2,10.06,1:44.369,1,9.94,1:44.273,3,10.23,1:44.737,0,,DNS
