JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,MATOC Anamarija POSITION,MATOC Anamarija LAP TIME,MATOC Anamarija ELAPSED TIME,Carly WILSON POSITION,Carly WILSON LAP TIME,Carly WILSON ELAPSED TIME
1,11.030,11.030,3,11.173,11.173,2,11.033,11.033,5,11.496,11.496,4,11.279,11.279
1,14.727,25.757,3,14.845,26.018,4,15.174,26.206,5,14.916,26.412,2,14.555,25.834
2,13.504,39.260,4,13.477,39.494,1,13.040,39.246,5,13.272,39.683,3,13.444,39.278
2,12.338,51.597,4,12.341,51.835,1,12.173,51.419,5,13.071,52.754,3,12.329,51.606
2,12.334,1:03.931,3,12.130,1:03.965,1,12.442,1:03.861,5,13.087,1:05.840,4,12.441,1:04.046
3,11.016,1:14.947,1,10.742,1:14.706,2,11.038,1:14.898,5,12.885,1:18.725,4,11.029,1:15.074
3,11.186,1:26.132,1,11.067,1:25.773,2,11.040,1:25.938,5,12.417,1:31.142,4,11.144,1:26.218
3,11.323,1:37.454,1,11.376,1:37.148,2,11.435,1:37.372,5,12.781,1:43.923,4,11.273,1:37.490
3,10.733,1:48.186,1,10.786,1:47.933,2,10.736,1:48.107,5,13.565,1:57.488,4,10.932,1:48.421
1,9.491,1:57.677,2,9.962,1:57.895,3,10.309,1:58.416,5,14.615,2:12.102,4,10.154,1:58.575
1,9.887,2:07.564,2,9.934,2:07.829,4,10.626,2:09.042,5,14.345,2:26.447,3,10.367,2:08.942
1,10.229,2:17.792,2,10.035,2:17.863,4,10.946,2:19.987,5,13.686,2:40.133,3,10.775,2:19.716
2,10.518,2:28.309,1,10.397,2:28.259,4,11.352,2:31.338,5,13.039,2:53.172,3,11.091,2:30.807
1,10.38,2:38.681,2,10.55,2:38.807,4,11.72,2:43.052,5,,2:52.957,3,11.79,2:42.590
