EMONS Friso POSITION,EMONS Friso LAP TIME,EMONS Friso ELAPSED TIME,SIGHEL Pietro POSITION,SIGHEL Pietro LAP TIME,SIGHEL Pietro ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,PARK Ji Won POSITION,PARK Ji Won LAP TIME,PARK Ji Won ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME
2,8.18,8.18,3,8.31,,4,8.43,8.43,5,8.55,8.55,6,8.73,8.73,1,8.17,8.17,7,8.93,8.93
3,12.44,20.62,4,12.50,,1,11.93,20.36,5,12.44,20.99,7,12.41,21.14,2,12.42,20.59,6,12.15,21.08
2,11.04,31.66,4,11.16,,1,11.19,31.55,5,11.11,32.10,6,11.04,32.18,3,11.25,31.84,7,11.13,32.21
1,10.09,41.75,5,10.31,,2,10.39,41.94,6,10.29,42.39,3,9.86,42.04,4,10.34,42.18,7,10.31,42.52
2,9.99,51.74,4,9.65,,3,9.95,51.89,6,9.75,52.14,5,9.93,51.97,1,9.52,51.70,7,9.76,52.28
1,9.55,1:01.29,4,9.71,,6,9.85,1:01.74,5,9.51,1:01.65,3,9.60,1:01.57,2,9.62,1:01.32,7,9.53,1:01.81
2,9.57,1:10.86,4,9.60,,6,9.76,1:11.50,5,9.75,1:11.40,3,9.55,1:11.12,1,9.52,1:10.84,7,9.82,1:11.63
2,9.56,1:20.42,4,9.37,,5,9.12,1:20.62,6,9.29,1:20.69,3,9.39,1:20.51,1,9.47,1:20.31,7,9.09,1:20.72
1,9.15,1:29.57,5,9.26,,3,9.12,1:29.74,6,9.30,1:29.99,4,9.26,1:29.77,2,9.34,1:29.65,7,9.32,1:30.04
1,9.21,1:38.78,4,9.31,,7,9.85,1:39.59,4,9.19,1:39.18,3,9.32,1:39.09,2,9.15,1:38.80,6,9.31,1:39.35
2,9.08,1:47.86,5,8.98,,7,9.07,1:48.66,3,8.76,1:47.94,4,8.96,1:48.05,1,8.75,1:47.55,6,8.86,1:48.21
3,9.16,1:57.02,5,8.99,,7,9.13,1:57.79,4,9.15,1:57.09,2,8.91,1:56.96,1,8.87,1:56.42,6,9.13,1:57.34
3,9.25,2:06.27,4,9.18,,7,9.83,2:07.62,5,9.39,2:06.48,2,9.19,2:06.15,1,9.03,2:05.45,6,9.21,2:06.55
6,25.32,2:31.59,7,28.14,,5,10.95,2:18.57,3,9.39,2:15.87,2,9.36,2:15.51,1,9.30,2:14.75,4,9.39,2:15.94
