TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
1,13.60,13.60,4,13.83,13.83,5,13.99,13.99,3,13.72,13.72,2,13.61,13.61
2,10.35,23.95,4,10.40,24.23,5,10.38,24.37,3,10.37,24.09,1,10.24,23.85
1,9.60,33.55,4,9.77,34.00,5,9.77,34.14,3,9.73,33.82,2,9.80,33.65
1,9.44,42.99,4,9.24,43.24,5,9.33,43.47,2,9.27,43.09,3,9.45,43.10
1,9.13,52.12,2,8.94,52.18,5,9.38,52.85,3,9.13,52.22,4,9.18,52.28
1,9.07,1:01.19,2,9.09,1:01.27,5,9.73,1:02.58,4,9.29,1:01.51,3,9.17,1:01.45
2,9.14,1:10.33,1,8.94,1:10.21,5,10.08,1:12.66,4,10.88,1:12.39,3,9.18,1:10.63
2,9.20,1:19.53,1,9.08,1:19.29,4,10.26,1:22.92,5,10.65,1:23.04,3,9.02,1:19.65
2,9.33,1:28.86,1,9.38,1:28.67,5,10.53,1:33.45,4,10.08,1:33.12,3,9.38,1:29.03
