Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
0,,,0,8.842,8.842,0,8.596,8.596,0,8.385,8.385,0,8.968,8.968,0,8.650,8.650
0,,20.355,0,11.593,20.435,0,11.637,20.233,0,11.909,20.294,0,11.624,20.592,0,11.502,20.151
0,11.592,31.947,0,11.543,31.979,0,11.658,31.891,0,11.478,31.772,0,11.657,32.248,0,11.704,31.856
0,10.064,42.012,0,10.357,42.336,0,10.069,41.961,0,10.044,41.817,0,10.224,42.472,0,10.437,42.292
0,10.199,52.211,0,10.155,52.490,0,10.245,52.206,0,10.217,52.033,0,10.163,52.636,0,10.184,52.476
0,10.573,1:02.784,0,10.527,1:03.017,0,10.683,1:02.888,0,10.944,1:02.977,0,10.589,1:03.224,0,10.296,1:02.772
0,10.010,1:12.794,0,10.022,1:13.039,0,9.980,1:12.868,0,9.786,1:12.764,0,9.935,1:13.159,0,9.982,1:12.753
0,10.100,1:22.894,0,9.865,1:22.904,0,10.042,1:22.910,0,10.088,1:22.851,0,10.041,1:23.200,0,9.995,1:22.748
0,9.392,1:32.285,0,9.712,1:32.616,0,9.753,1:32.663,0,9.308,1:32.159,0,,,0,9.983,1:32.731
0,10.185,1:42.471,0,9.852,1:42.468,0,9.835,1:42.498,0,10.236,1:42.395,0,,1:57.191,0,9.922,1:42.653
0,9.992,1:52.463,0,10.071,1:52.539,0,10.029,1:52.527,0,9.938,1:52.333,0,10.776,2:07.967,0,9.922,1:52.575
0,9.597,2:02.060,0,9.767,2:02.307,0,9.809,2:02.336,0,9.821,2:02.154,0,10.920,2:18.886,0,9.817,2:02.392
0,9.570,2:11.630,0,9.414,2:11.720,0,10.768,2:13.105,0,9.493,2:11.647,0,11.241,2:30.128,0,9.584,2:11.976
0,,,0,,,0,,,0,,,0,,,0,,
