Tjasa KROFLIC POSITION,Tjasa KROFLIC LAP TIME,Tjasa KROFLIC ELAPSED TIME,MCSWEENEY Bree POSITION,MCSWEENEY Bree LAP TIME,MCSWEENEY Bree ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,Simona TOMSIKOVA POSITION,Simona TOMSIKOVA LAP TIME,Simona TOMSIKOVA ELAPSED TIME
2,9.460,9.460,4,9.740,9.740,1,9.418,9.418,3,9.678,9.678,5,9.774,9.774,6,10.186,10.186
1,12.516,21.976,4,12.481,22.221,2,12.590,22.007,3,12.486,22.163,5,12.662,22.435,6,12.389,22.574
1,11.804,33.780,3,11.788,34.008,2,11.811,33.818,4,11.888,34.051,5,11.734,34.169,6,11.783,34.357
1,11.933,45.712,4,11.876,45.884,2,11.941,45.758,3,11.811,45.861,5,11.859,46.027,6,11.806,46.162
1,12.224,57.935,2,12.178,58.061,3,12.360,58.117,4,12.404,58.265,5,12.343,58.370,6,12.374,58.536
1,12.649,1:10.584,4,12.874,1:10.935,2,12.472,1:10.589,3,12.524,1:10.788,5,12.774,1:11.144,6,12.700,1:11.235
4,12.506,1:23.090,3,11.936,1:22.870,1,11.799,1:22.387,2,11.839,1:22.627,6,12.487,1:23.630,5,11.964,1:23.199
5,12.205,1:35.294,3,10.974,1:33.844,1,11.278,1:33.665,2,11.134,1:33.761,6,12.177,1:35.806,4,11.467,1:34.666
5,12.267,1:47.561,1,10.916,1:44.759,3,11.210,1:44.875,2,11.031,1:44.791,6,12.203,1:48.009,4,11.242,1:45.907
5,12.425,1:59.986,2,10.844,1:55.603,1,10.535,1:55.409,3,10.879,1:55.670,6,12.776,2:00.784,4,11.491,1:57.398
5,12.817,2:12.802,2,11.085,2:06.688,1,11.112,2:06.521,3,11.068,2:06.738,6,12.969,2:13.753,4,11.936,2:09.333
5,13.192,2:25.994,3,11.762,2:18.449,1,11.016,2:17.536,2,10.920,2:17.657,6,13.462,2:27.215,4,12.484,2:21.817
5,14.092,2:40.086,3,12.727,2:31.176,1,10.989,2:28.525,2,11.064,2:28.721,6,14.809,2:42.024,4,12.996,2:34.813
5,13.63,2:53.711,3,13.31,2:44.481,1,11.20,2:39.722,2,11.11,2:39.826,6,13.44,2:55.464,4,13.42,2:48.232
