Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,June Liang LIM POSITION,June Liang LIM LAP TIME,June Liang LIM ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME
2,7.07,7.07,4,7.18,7.18,1,6.89,6.89,5,15.90,15.90,3,7.16,7.16
2,9.13,16.20,4,9.46,16.64,1,9.11,16.00,5,15.13,31.03,3,9.16,16.32
2,8.66,24.86,4,9.63,26.27,1,8.66,24.66,5,13.51,44.54,3,8.67,24.99
3,8.72,33.58,4,9.58,35.85,1,8.71,33.37,5,12.82,57.36,2,8.57,33.56
3,9.26,42.833,4,9.71,45.560,1,8.95,42.320,5,11.61,1:08.961,2,9.08,42.633
