THAKUR SANDEEP Singh POSITION,THAKUR SANDEEP Singh LAP TIME,THAKUR SANDEEP Singh ELAPSED TIME,Zsolt Istvan PATAKI POSITION,Zsolt Istvan PATAKI LAP TIME,Zsolt Istvan PATAKI ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME
3,8.329,8.329,1,7.122,7.122,2,7.242,7.242,4,8.448,8.448
4,11.717,20.045,2,9.873,16.994,1,9.569,16.811,3,9.035,17.482
4,11.535,31.579,2,9.502,26.496,1,9.314,26.125,3,9.112,26.593
4,11.521,43.099,3,9.942,36.437,1,9.499,35.623,2,9.550,36.143
4,12.06,55.151,3,10.01,46.446,1,9.92,45.539,2,9.82,45.958
