Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME
2,13.35,13.35,1,13.27,13.27,5,13.58,13.58,3,13.46,13.46,4,13.50,13.50
2,9.85,23.20,1,9.81,23.08,5,9.93,23.51,3,9.86,23.32,4,9.91,23.41
2,9.91,33.11,1,9.96,33.04,5,9.91,33.42,3,9.91,33.23,4,9.89,33.30
2,9.87,42.98,1,9.93,42.97,4,9.84,43.26,3,9.88,43.11,5,10.03,43.33
1,9.52,52.50,2,9.64,52.61,4,9.57,52.83,3,9.63,52.74,5,9.63,52.96
1,9.63,1:02.13,2,9.62,1:02.23,4,9.64,1:02.47,3,9.61,1:02.35,5,9.62,1:02.58
1,9.56,1:11.69,2,9.58,1:11.81,4,9.65,1:12.12,3,9.53,1:11.88,5,9.67,1:12.25
1,9.46,1:21.15,2,9.78,1:21.59,4,9.72,1:21.84,3,9.85,1:21.73,5,10.00,1:22.25
1,9.72,1:30.859,3,10.05,1:31.628,4,9.99,1:31.812,2,9.68,1:31.397,5,10.36,1:32.592
