SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,Teppei KIKUCHI POSITION,Teppei KIKUCHI LAP TIME,Teppei KIKUCHI ELAPSED TIME
3,13.92,13.92,5,14.09,14.09,4,13.97,13.97,2,13.85,13.85,1,13.73,13.73
1,9.68,23.60,2,9.59,23.68,5,10.01,23.98,4,9.95,23.80,3,9.97,23.70
2,9.52,33.12,1,9.25,32.93,5,9.46,33.44,4,9.55,33.35,3,9.53,33.23
2,9.57,42.69,1,9.68,42.61,4,9.42,42.86,5,9.51,42.86,3,9.55,42.78
2,9.41,52.10,1,9.41,52.02,5,9.45,52.31,4,9.44,52.30,3,9.44,52.22
1,8.97,1:01.07,2,9.19,1:01.21,5,9.39,1:01.70,4,9.19,1:01.49,3,9.08,1:01.30
1,9.04,1:10.11,2,9.09,1:10.30,5,9.05,1:10.75,4,9.11,1:10.60,3,9.09,1:10.39
1,9.19,1:19.30,2,9.37,1:19.67,5,9.20,1:19.95,3,9.17,1:19.77,4,9.41,1:19.80
1,9.62,1:28.918,2,9.59,1:29.259,4,9.48,1:29.425,3,9.53,1:29.300,5,9.78,1:29.571
