Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME
2,14.61,14.61,4,15.01,15.01,3,14.80,14.80,1,14.47,14.47
2,11.07,25.68,3,10.75,25.76,4,10.97,25.77,1,11.10,25.57
2,10.41,36.09,4,10.63,36.39,3,10.43,36.20,1,10.41,35.98
2,10.41,46.50,4,10.31,46.70,3,10.40,46.60,1,10.45,46.43
1,10.08,56.58,4,10.23,56.93,3,10.20,56.80,2,10.27,56.70
1,9.98,1:06.56,4,9.98,1:06.91,3,9.98,1:06.78,2,9.98,1:06.68
1,9.78,1:16.34,4,9.65,1:16.56,3,9.73,1:16.51,2,9.75,1:16.43
1,9.60,1:25.94,4,9.80,1:26.36,3,9.65,1:26.16,2,9.60,1:26.03
1,9.66,1:35.591,4,9.63,1:35.983,3,9.64,1:35.791,2,9.61,1:35.636
