Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
1,10.28,10.28,3,10.72,10.72,5,10.95,10.95,2,10.49,10.49,4,10.80,10.80,6,11.10,11.10,7,11.19,11.19
2,15.53,25.81,3,15.25,25.97,5,15.31,26.26,1,15.14,25.63,4,15.31,26.11,6,15.29,26.39,7,15.34,26.53
2,13.51,39.32,3,13.54,39.51,5,13.48,39.74,1,13.55,39.18,4,13.52,39.63,6,13.50,39.89,7,13.47,40.00
3,13.08,52.40,4,13.00,52.51,5,12.93,52.67,1,13.06,52.24,2,12.68,52.31,6,12.94,52.83,7,12.92,52.92
4,11.68,1:04.08,5,11.70,1:04.21,7,11.66,1:04.33,2,11.73,1:03.97,1,11.49,1:03.80,3,11.20,1:04.03,6,11.32,1:04.24
5,10.19,1:14.27,6,10.15,1:14.36,7,10.12,1:14.45,4,10.21,1:14.18,3,10.28,1:14.08,2,9.95,1:13.98,1,9.71,1:13.95
6,9.47,1:23.74,2,9.17,1:23.53,7,9.43,1:23.88,5,9.49,1:23.67,4,9.52,1:23.60,3,9.57,1:23.55,1,9.52,1:23.47
6,9.12,1:32.86,1,8.94,1:32.47,7,9.12,1:33.00,4,9.06,1:32.73,3,9.00,1:32.60,5,9.19,1:32.74,2,9.06,1:32.53
6,9.09,1:41.95,1,9.15,1:41.62,7,9.15,1:42.15,4,9.10,1:41.83,3,9.15,1:41.75,5,9.19,1:41.93,2,9.15,1:41.68
6,9.25,1:51.20,1,9.01,1:50.63,7,9.05,1:51.20,4,8.99,1:50.82,2,8.95,1:50.70,5,9.03,1:50.96,3,9.06,1:50.74
7,8.80,2:00.00,1,8.75,1:59.38,6,8.68,1:59.88,4,8.80,1:59.62,2,8.76,1:59.46,5,8.75,1:59.71,3,8.80,1:59.54
7,8.72,2:08.72,1,8.74,2:08.12,6,8.72,2:08.60,4,8.75,2:08.37,2,8.74,2:08.20,5,8.73,2:08.44,3,8.74,2:08.28
7,8.84,2:17.56,1,8.80,2:16.92,6,8.86,2:17.46,4,8.86,2:17.23,5,9.20,2:17.40,2,8.56,2:17.00,3,8.90,2:17.18
6,9.13,2:26.684,1,8.99,2:25.911,5,9.08,2:26.537,4,9.21,2:26.433,7,9.64,2:27.034,2,8.98,2:25.974,3,9.21,2:26.384
