Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,GUO Yihan POSITION,GUO Yihan LAP TIME,GUO Yihan ELAPSED TIME
4,9.99,9.99,2,9.89,9.89,1,9.80,9.80,6,10.34,10.34,5,10.12,10.12,3,9.91,9.91,7,10.41,10.41
4,14.19,24.18,3,14.17,24.06,1,13.92,23.72,7,14.13,24.47,6,14.20,24.32,2,13.99,23.90,5,13.85,24.26
5,11.28,35.46,4,11.32,35.38,1,11.34,35.06,7,11.35,35.82,6,11.36,35.68,2,11.28,35.18,3,11.05,35.31
5,10.84,46.30,4,10.78,46.16,2,10.78,45.84,7,10.80,46.62,6,10.81,46.49,1,10.55,45.73,3,10.71,46.02
5,10.32,56.62,4,10.41,56.57,1,10.41,56.25,7,10.22,56.84,6,10.15,56.64,2,10.66,56.39,3,10.40,56.42
5,9.42,1:06.04,6,9.57,1:06.14,2,9.64,1:05.89,7,9.54,1:06.38,4,9.31,1:05.95,2,9.50,1:05.89,1,9.44,1:05.86
3,9.24,1:15.28,5,9.37,1:15.51,4,9.54,1:15.43,7,9.28,1:15.66,1,9.20,1:15.15,2,9.31,1:15.20,6,9.66,1:15.52
3,9.38,1:24.66,5,9.38,1:24.89,4,9.35,1:24.78,7,9.46,1:25.12,1,9.35,1:24.50,2,9.40,1:24.60,6,9.50,1:25.02
3,9.71,1:34.37,5,9.68,1:34.57,4,9.69,1:34.47,7,9.68,1:34.80,1,9.68,1:34.18,2,9.69,1:34.29,6,9.67,1:34.69
4,9.68,1:44.05,3,9.43,1:44.00,5,9.69,1:44.16,7,9.64,1:44.44,1,9.61,1:43.79,2,9.61,1:43.90,6,9.63,1:44.32
4,9.80,1:53.85,3,9.77,1:53.77,5,9.95,1:54.11,7,9.82,1:54.26,1,9.69,1:53.48,2,9.67,1:53.57,5,9.79,1:54.11
4,9.78,2:03.63,3,9.72,2:03.49,6,10.10,2:04.21,7,9.98,2:04.24,1,9.74,2:03.22,2,9.80,2:03.37,5,9.96,2:04.07
4,9.76,2:13.39,3,9.75,2:13.24,6,10.54,2:14.75,5,10.01,2:14.25,1,9.70,2:12.92,2,9.76,2:13.13,7,11.19,2:15.26
4,9.96,2:23.325,3,9.94,2:23.167,6,11.10,2:25.824,5,9.97,2:24.199,1,10.02,2:22.925,2,10.01,2:23.124,7,13.37,2:28.601
