SZILICZEI-NEMET Rebeka POSITION,SZILICZEI-NEMET Rebeka LAP TIME,SZILICZEI-NEMET Rebeka ELAPSED TIME,MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,Sofya BOYTSOVA POSITION,Sofya BOYTSOVA LAP TIME,Sofya BOYTSOVA ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
4,15.27,15.27,2,15.16,15.16,3,15.25,15.25,1,15.02,15.02,5,15.45,15.45
3,10.87,26.14,2,10.91,26.07,4,10.90,26.15,1,10.93,25.95,5,10.81,26.26
2,9.79,35.93,3,9.96,36.03,5,10.09,36.24,1,9.90,35.85,4,9.87,36.13
2,9.96,45.89,3,9.97,46.00,5,9.90,46.14,1,9.97,45.82,4,10.00,46.13
2,9.68,55.57,3,9.59,55.59,4,9.62,55.76,1,9.64,55.46,5,9.73,55.86
5,9.88,1:05.45,2,9.51,1:05.10,3,9.66,1:05.42,1,9.52,1:04.98,3,9.56,1:05.42
4,9.49,1:14.94,2,9.61,1:14.71,5,10.58,1:16.00,1,9.60,1:14.58,3,9.41,1:14.83
3,9.59,1:24.53,2,9.74,1:24.45,5,11.65,1:27.65,1,9.75,1:24.33,4,9.80,1:24.63
2,9.95,1:34.48,3,10.09,1:34.543,5,12.38,1:40.035,1,10.04,1:34.37,4,9.94,1:34.575
