DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,Sandra TRUSOVA POSITION,Sandra TRUSOVA LAP TIME,Sandra TRUSOVA ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
1,11.28,11.28,5,12.03,12.03,2,11.44,11.44,3,11.71,11.71,4,11.84,11.84
1,17.06,28.34,5,16.88,28.91,2,17.06,28.50,3,16.98,28.69,4,16.88,28.72
3,14.56,42.90,5,14.32,43.23,2,14.28,42.78,4,14.39,43.08,1,14.02,42.74
3,12.35,55.25,5,12.21,55.44,1,12.24,55.02,4,12.26,55.34,2,12.39,55.13
3,12.20,1:07.45,5,12.32,1:07.76,1,12.34,1:07.36,4,12.21,1:07.55,2,12.26,1:07.39
2,10.87,1:18.32,4,10.68,1:18.44,5,11.13,1:18.49,3,10.85,1:18.40,1,10.82,1:18.21
3,10.96,1:29.28,1,10.63,1:29.07,5,10.95,1:29.44,4,10.91,1:29.31,2,10.98,1:29.19
4,11.02,1:40.30,2,11.15,1:40.22,5,11.02,1:40.46,3,10.92,1:40.23,1,10.92,1:40.11
4,11.08,1:51.38,3,11.06,1:51.28,5,11.08,1:51.54,2,10.92,1:51.15,1,10.91,1:51.02
4,10.78,2:02.16,3,10.77,2:02.05,5,10.78,2:02.32,2,10.79,2:01.94,1,10.83,2:01.85
4,10.13,2:12.29,3,10.15,2:12.20,5,10.46,2:12.78,2,10.17,2:12.11,1,10.15,2:12.00
4,9.97,2:22.26,3,9.98,2:22.18,5,10.72,2:23.50,2,9.81,2:21.92,1,9.84,2:21.84
4,9.68,2:31.94,3,9.71,2:31.89,5,11.31,2:34.81,2,9.80,2:31.72,1,9.78,2:31.62
3,9.63,2:41.57,4,9.78,2:41.67,5,11.65,2:46.46,2,9.81,2:41.53,1,9.84,2:41.46
