Nicolas PERREAULT POSITION,Nicolas PERREAULT LAP TIME,Nicolas PERREAULT ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,Jing Feng XU POSITION,Jing Feng XU LAP TIME,Jing Feng XU ELAPSED TIME,Robin BENDIG POSITION,Robin BENDIG LAP TIME,Robin BENDIG ELAPSED TIME,DEWAGTERE Adriaan POSITION,DEWAGTERE Adriaan LAP TIME,DEWAGTERE Adriaan ELAPSED TIME
3,13.31,13.31,4,13.52,13.52,5,13.58,13.58,1,13.10,13.10,2,13.18,13.18
3,9.37,22.68,4,9.40,22.92,5,9.52,23.10,1,9.41,22.51,2,9.41,22.59
1,9.44,32.12,4,9.38,32.30,5,9.35,32.45,1,9.61,32.12,3,9.57,32.16
1,9.40,41.52,3,9.40,41.70,5,9.42,41.87,2,9.50,41.62,4,9.56,41.72
1,9.71,51.23,3,9.71,51.41,5,9.84,51.71,2,9.71,51.33,4,9.79,51.51
2,9.81,1:01.04,1,9.56,1:00.97,5,10.24,1:01.95,3,9.81,1:01.14,4,9.75,1:01.26
2,9.65,1:10.69,1,9.64,1:10.61,5,10.63,1:12.58,3,9.68,1:10.82,4,9.81,1:11.07
1,9.28,1:19.97,2,9.55,1:20.16,5,11.04,1:23.62,3,9.54,1:20.36,4,10.00,1:21.07
1,9.36,1:29.33,2,9.67,1:29.83,5,11.12,1:34.74,3,9.61,1:29.97,4,10.11,1:31.18
