Boris FRANKOVIC POSITION,Boris FRANKOVIC LAP TIME,Boris FRANKOVIC ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Jakub BOROWSKI POSITION,Jakub BOROWSKI LAP TIME,Jakub BOROWSKI ELAPSED TIME
1,7.00,7.00,3,7.22,7.22,2,7.03,7.03,4,7.57,7.57
2,9.61,16.61,4,15.29,22.51,1,9.51,16.54,3,9.46,17.03
2,9.34,25.96,4,15.29,37.81,1,8.93,25.48,3,9.05,26.09
3,9.51,35.47,4,10.49,48.30,1,8.92,34.41,2,9.20,35.29
3,9.51,44.972,4,10.03,58.323,1,9.42,43.823,2,9.50,44.790
