IVANDIC Danijela POSITION,IVANDIC Danijela LAP TIME,IVANDIC Danijela ELAPSED TIME,Maria GARKOVA POSITION,Maria GARKOVA LAP TIME,Maria GARKOVA ELAPSED TIME,Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,Tineke den DULK POSITION,Tineke den DULK LAP TIME,Tineke den DULK ELAPSED TIME
6,12.74,12.74,5,12.52,12.52,1,11.95,11.95,3,12.23,,2,12.09,12.09,4,12.26,12.26
6,17.07,29.81,5,17.07,29.59,1,17.07,29.02,3,17.05,,2,17.05,29.14,4,17.14,29.40
6,15.47,45.28,5,15.55,45.14,1,15.58,44.60,3,15.55,,2,15.57,44.71,4,15.57,44.97
6,14.81,1:00.09,5,14.83,59.97,1,14.86,59.46,3,14.86,,2,14.84,59.55,4,14.80,59.77
6,14.45,1:14.54,5,14.45,1:14.42,1,14.42,1:13.88,3,14.43,,2,14.45,1:14.00,4,14.45,1:14.22
6,12.39,1:26.93,5,12.30,1:26.72,2,12.41,1:26.29,4,12.43,,3,12.35,1:26.35,1,11.97,1:26.19
6,10.39,1:37.32,5,10.51,1:37.23,2,10.50,1:36.79,4,10.50,,3,10.57,1:36.92,1,10.48,1:36.67
6,10.27,1:47.59,5,10.32,1:47.55,2,10.06,1:46.85,4,10.01,,3,10.01,1:46.93,1,10.08,1:46.75
6,10.48,1:58.07,5,10.21,1:57.76,2,10.06,1:56.91,4,10.07,,3,10.09,1:57.02,1,10.07,1:56.82
6,10.60,2:08.67,5,10.82,2:08.58,2,10.06,2:06.97,4,10.02,,3,10.03,2:07.05,1,10.05,2:06.87
5,11.19,2:19.86,6,11.71,2:20.29,1,10.03,2:17.00,4,10.04,,2,9.98,2:17.03,3,10.23,2:17.10
5,11.69,2:31.55,6,12.81,2:33.10,1,10.10,2:27.10,3,10.33,,2,10.24,2:27.27,4,11.12,2:28.22
5,12.74,2:44.29,6,14.48,2:47.58,1,10.25,2:37.35,3,10.15,,2,10.20,2:37.47,4,11.13,2:39.35
5,13.44,2:57.73,6,14.87,3:02.45,0,,PHOTO,3,10.25,,0,,PHOTO,4,12.31,2:51.66
