Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Chris CREVELING POSITION,Chris CREVELING LAP TIME,Chris CREVELING ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
2,13.16,13.16,4,13.47,13.47,3,13.32,13.32,1,13.06,13.06
2,10.24,23.40,4,10.13,23.60,3,10.15,23.47,1,10.19,23.25
2,9.63,33.03,4,9.66,33.26,3,9.63,33.10,1,9.65,32.90
2,9.26,42.29,4,9.26,42.52,3,9.31,42.41,1,9.25,42.15
2,8.96,51.25,4,9.00,51.52,3,8.95,51.36,1,9.00,51.15
1,8.80,1:00.05,4,8.78,1:00.30,3,8.91,1:00.27,2,8.99,1:00.14
1,8.99,1:09.04,3,8.90,1:09.20,4,9.07,1:09.34,2,8.99,1:09.13
1,9.06,1:18.10,3,9.14,1:18.34,4,9.20,1:18.54,2,9.14,1:18.27
1,9.29,1:27.386,3,9.22,1:27.560,4,9.53,1:28.064,2,9.23,1:27.493
