Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Simon CHO POSITION,Simon CHO LAP TIME,Simon CHO ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME
1,6.790,6.790,4,7.430,7.430,2,6.870,6.870,3,6.936,6.936
2,9.284,16.074,4,9.536,16.966,1,9.129,15.998,3,9.384,16.320
4,18.235,34.309,3,8.878,25.844,2,9.111,25.110,1,8.767,25.087
4,17.732,52.041,3,9.122,34.966,2,9.120,34.230,1,9.073,34.160
4,13.136,1:05.178,3,9.073,44.039,1,8.841,43.071,2,8.984,43.144
