KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Janis PIUSS POSITION,Janis PIUSS LAP TIME,Janis PIUSS ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,12.88,12.88,4,13.15,13.15,5,13.28,13.28,3,13.15,13.15,2,12.98,12.98
1,9.73,22.61,4,9.71,22.86,5,9.71,22.99,3,9.67,22.82,2,9.75,22.73
1,9.51,32.12,4,9.67,32.53,5,9.64,32.63,3,9.58,32.40,2,9.56,32.29
1,9.52,41.64,4,9.48,42.01,5,9.49,42.12,3,9.45,41.85,2,9.45,41.74
2,9.57,51.21,4,9.43,51.44,5,9.43,51.55,3,9.43,51.28,1,9.31,51.05
2,9.08,1:00.29,4,9.51,1:00.95,5,9.48,1:01.03,3,9.14,1:00.42,1,9.21,1:00.26
1,9.02,1:09.31,5,10.04,1:10.99,4,9.86,1:10.89,3,9.10,1:09.52,2,9.18,1:09.44
1,9.19,1:18.50,4,11.15,1:22.14,5,24.47,1:35.36,3,9.27,1:18.79,2,9.27,1:18.71
1,9.46,1:27.958,4,11.87,1:34.004,5,15.16,1:50.519,2,9.48,1:28.268,3,9.72,1:28.430
