Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,Yoan GAUTHIER POSITION,Yoan GAUTHIER LAP TIME,Yoan GAUTHIER ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME
3,13.00,13.00,4,13.03,13.03,2,12.85,12.85,1,12.65,12.65,5,13.11,13.11
3,21.50,34.50,5,21.91,34.94,4,21.85,34.70,2,21.31,33.96,1,20.66,33.77
3,14.56,49.06,5,14.41,49.35,4,14.51,49.21,2,14.95,48.91,1,14.97,48.74
3,13.90,1:02.96,5,13.83,1:03.18,4,13.81,1:03.02,2,13.97,1:02.88,1,14.01,1:02.75
3,13.34,1:16.30,5,13.35,1:16.53,4,13.29,1:16.31,2,13.32,1:16.20,1,13.36,1:16.11
3,13.03,1:29.33,5,13.07,1:29.60,4,13.09,1:29.40,2,13.00,1:29.20,1,12.97,1:29.08
3,12.54,1:41.87,5,12.55,1:42.15,4,12.56,1:41.96,2,12.62,1:41.82,1,12.65,1:41.73
2,10.65,1:52.52,1,10.35,1:52.50,5,11.02,1:52.98,3,11.14,1:52.96,4,11.24,1:52.97
3,9.90,2:02.42,1,9.46,2:01.96,2,9.42,2:02.40,4,9.55,2:02.51,5,10.72,2:03.69
4,9.89,2:12.31,1,9.70,2:11.66,2,9.43,2:11.83,3,9.48,2:11.99,5,11.05,2:14.74
4,10.16,2:22.47,1,9.71,2:21.37,2,9.64,2:21.47,3,9.64,2:21.63,5,11.96,2:26.70
4,10.53,2:33.00,1,9.54,2:30.91,2,9.56,2:31.03,3,9.58,2:31.21,5,12.49,2:39.19
4,11.01,2:44.01,2,9.69,2:40.60,1,9.46,2:40.49,3,9.54,2:40.75,5,13.56,2:52.75
4,11.95,2:55.953,2,9.81,2:50.401,1,9.76,2:50.244,3,9.75,2:50.497,5,13.07,3:05.820
