Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,LIN Meng POSITION,LIN Meng LAP TIME,LIN Meng ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME
1,13.37,13.37,3,13.59,13.59,2,13.43,13.43,4,13.74,13.74
2,10.41,23.78,3,10.23,23.82,1,10.28,23.71,4,10.23,23.97
3,9.87,33.65,1,9.62,33.44,2,9.84,33.55,4,9.84,33.81
3,9.96,43.61,1,9.98,43.42,2,9.96,43.51,4,9.94,43.75
3,10.01,53.62,1,10.04,53.46,2,10.04,53.55,4,9.95,53.70
3,10.34,1:03.96,4,24.14,1:17.60,2,10.14,1:03.69,1,9.99,1:03.69
3,10.70,1:14.66,4,21.37,1:38.97,2,10.05,1:13.74,1,9.94,1:13.63
3,10.81,1:25.47,4,13.02,1:51.99,2,9.79,1:23.53,1,9.74,1:23.37
0,,PEN,3,11.64,2:03.629,2,9.89,1:33.419,1,9.84,1:33.206
