Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME,Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Lubomir POPOVSKI POSITION,Lubomir POPOVSKI LAP TIME,Lubomir POPOVSKI ELAPSED TIME
3,16.385,16.385,1,16.088,16.088,2,16.365,16.365,4,16.445,16.445
2,12.370,28.754,1,12.329,28.417,3,12.459,28.823,4,12.391,28.836
2,11.529,40.283,1,11.532,39.949,3,11.520,40.343,4,11.590,40.425
3,11.051,51.333,1,11.145,51.093,2,10.976,51.319,4,10.911,51.336
3,10.247,1:01.579,2,10.322,1:01.414,1,9.970,1:01.289,4,10.259,1:01.594
3,9.489,1:11.068,1,9.358,1:10.772,2,9.748,1:11.037,4,9.591,1:11.184
2,9.472,1:20.539,1,9.523,1:20.294,3,9.584,1:20.620,4,9.538,1:20.721
3,9.580,1:30.119,1,9.266,1:29.559,2,9.338,1:29.958,4,9.430,1:30.151
3,9.53,1:39.645,1,9.66,1:39.216,2,9.40,1:39.358,4,10.10,1:40.244
