Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME,Mark JACKSON POSITION,Mark JACKSON LAP TIME,Mark JACKSON ELAPSED TIME,Munkhamidral GANBAT POSITION,Munkhamidral GANBAT LAP TIME,Munkhamidral GANBAT ELAPSED TIME
2,12.87,12.87,1,12.69,12.69,3,13.13,13.13,4,13.81,13.81
2,9.79,22.67,3,10.00,22.69,1,9.45,22.59,4,10.40,24.21
1,9.26,31.93,2,9.24,31.94,3,9.45,32.04,4,28.95,53.17
2,9.53,41.47,1,9.44,41.38,3,9.59,41.64,4,15.10,1:08.28
2,9.69,51.16,3,9.78,51.17,1,9.51,51.15,4,13.53,1:21.81
2,9.68,1:00.85,1,9.65,1:00.82,3,9.71,1:00.86,4,11.76,1:33.58
1,9.71,1:10.56,2,9.75,1:10.57,3,9.74,1:10.61,4,12.49,1:46.07
1,9.86,1:20.42,2,10.01,1:20.59,3,10.26,1:20.87,4,11.62,1:57.69
1,10.05,1:30.461,2,10.46,1:31.044,3,10.55,1:31.415,4,13.11,2:10.798
