Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Tyson HEUNG POSITION,Tyson HEUNG LAP TIME,Tyson HEUNG ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME
3,7.14,7.14,1,6.82,6.82,4,7.27,7.27,2,6.92,6.92
3,9.25,16.39,1,9.24,16.06,4,9.62,16.89,2,9.22,16.14
2,9.00,25.39,1,8.95,25.01,3,9.26,26.15,4,24.00,40.14
2,9.21,34.60,1,9.03,34.04,3,9.47,35.62,4,14.37,54.51
2,9.46,44.058,1,9.30,43.336,3,9.80,45.413,4,12.91,1:07.416
