Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,SONG Weilong POSITION,SONG Weilong LAP TIME,SONG Weilong ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
2,9.15,9.15,5,9.39,9.39,6,9.55,9.55,4,9.25,9.25,1,9.07,9.07,3,9.22,9.22,7,9.69,9.69
3,12.29,21.44,5,12.26,21.65,6,12.30,21.85,4,12.28,21.53,2,12.27,21.34,1,12.02,21.24,7,12.27,21.96
5,12.05,33.49,1,11.46,33.11,2,11.31,33.16,6,12.03,33.56,4,12.01,33.35,3,12.01,33.25,7,11.70,33.66
5,10.92,44.41,2,10.91,44.02,3,10.98,44.14,6,10.91,44.47,1,10.53,43.88,4,10.98,44.23,7,10.85,44.51
6,10.56,54.97,3,10.62,54.64,4,10.62,54.76,1,9.87,54.34,2,10.66,54.54,5,10.61,54.84,7,10.58,55.09
6,10.47,1:05.44,4,10.50,1:05.14,2,10.25,1:05.01,1,10.57,1:04.91,3,10.51,1:05.05,5,10.46,1:05.30,7,10.47,1:05.56
6,9.76,1:15.20,4,9.76,1:14.90,1,9.65,1:14.66,3,9.84,1:14.75,2,9.69,1:14.74,5,9.74,1:15.04,7,9.76,1:15.32
6,9.37,1:24.57,4,9.42,1:24.32,2,9.61,1:24.27,3,9.56,1:24.31,1,9.47,1:24.21,5,9.39,1:24.43,7,9.36,1:24.68
6,9.34,1:33.91,3,9.37,1:33.69,2,9.25,1:33.52,4,9.40,1:33.71,1,9.26,1:33.47,7,9.67,1:34.10,5,9.16,1:33.84
6,9.41,1:43.32,3,9.50,1:43.19,1,9.40,1:42.92,4,9.52,1:43.23,2,9.45,1:42.92,7,9.41,1:43.51,5,9.46,1:43.30
4,8.81,1:52.13,3,8.94,1:52.13,2,8.99,1:51.91,5,9.07,1:52.30,1,8.96,1:51.88,7,9.02,1:52.53,6,9.21,1:52.51
3,8.82,2:00.95,4,8.94,2:01.07,2,9.02,2:00.93,5,9.01,2:01.31,1,8.95,2:00.83,7,9.87,2:02.40,6,9.70,2:02.21
2,8.83,2:09.78,4,8.90,2:09.97,3,8.94,2:09.87,5,9.02,2:10.33,1,8.85,2:09.68,7,9.51,2:11.91,6,9.59,2:11.80
3,9.55,2:19.331,2,9.33,2:19.291,0,,PEN,4,9.84,2:20.164,1,9.27,2:18.943,6,9.70,2:21.611,5,9.73,2:21.530
