Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME,Adam KOVACS POSITION,Adam KOVACS LAP TIME,Adam KOVACS ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME
2,14.159,14.159,3,14.248,14.248,1,13.882,13.882,4,14.392,14.392
2,11.356,25.514,3,11.364,25.612,1,11.414,25.295,4,11.326,25.717
3,10.172,35.685,4,10.308,35.920,1,10.000,35.295,2,9.750,35.467
3,9.644,45.329,4,9.597,45.516,1,9.795,45.090,2,9.698,45.165
3,9.401,54.730,4,9.601,55.117,2,9.600,54.689,1,9.516,54.681
1,9.362,1:04.091,4,9.449,1:04.565,2,9.499,1:04.188,3,9.627,1:04.307
1,9.569,1:13.660,3,9.228,1:13.793,2,9.493,1:13.681,4,9.869,1:14.176
2,9.580,1:23.239,3,9.676,1:23.469,1,9.556,1:23.236,4,9.917,1:24.093
1,10.03,1:33.261,3,9.87,1:33.332,2,10.07,1:33.301,4,10.65,1:34.734
