LEE Hyo Been POSITION,LEE Hyo Been LAP TIME,LEE Hyo Been ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
4,13.64,13.64,1,13.39,13.39,2,13.41,13.41,3,13.48,13.48
4,10.16,23.80,1,10.09,23.48,2,10.16,23.57,3,10.17,23.65
4,9.97,33.77,1,9.99,33.47,2,9.99,33.56,3,9.92,33.57
3,9.57,43.34,1,9.55,43.02,4,9.83,43.39,2,9.56,43.13
3,9.47,52.81,1,9.51,52.53,4,9.56,52.95,2,9.50,52.63
3,9.16,1:01.97,1,9.23,1:01.76,4,9.17,1:02.12,2,9.22,1:01.85
3,8.98,1:10.95,1,8.98,1:10.74,4,9.06,1:11.18,2,8.99,1:10.84
3,9.06,1:20.01,1,9.03,1:19.77,4,9.29,1:20.47,2,9.12,1:19.96
2,8.98,1:28.985,1,9.21,1:28.971,3,9.76,1:30.225,0,,PEN
