Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Grant HESTER POSITION,Grant HESTER LAP TIME,Grant HESTER ELAPSED TIME,Jan-Ebele van der REE POSITION,Jan-Ebele van der REE LAP TIME,Jan-Ebele van der REE ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME
2,14.02,14.02,5,14.30,14.30,4,14.21,14.21,3,14.11,14.11,1,13.98,13.98
2,10.71,24.73,5,10.60,24.90,4,10.61,24.82,3,10.65,24.76,1,10.67,24.65
4,10.76,35.49,5,10.75,35.65,3,10.49,35.31,2,10.51,35.27,1,10.56,35.21
3,9.97,45.46,5,9.98,45.63,4,10.16,45.47,1,10.00,45.27,2,10.15,45.36
1,9.27,54.73,5,9.61,55.24,4,9.55,55.02,2,9.63,54.90,3,9.63,54.99
1,9.16,1:03.89,5,9.38,1:04.62,4,9.44,1:04.46,2,9.10,1:04.00,3,9.10,1:04.09
2,9.56,1:13.45,5,9.54,1:14.16,4,9.38,1:13.84,1,9.33,1:13.33,3,9.46,1:13.55
5,36.77,1:50.22,4,9.91,1:24.07,3,9.37,1:23.21,1,9.46,1:22.79,2,9.54,1:23.09
5,19.56,2:09.778,4,10.21,1:34.279,3,9.67,1:32.873,1,9.57,1:32.358,2,9.42,1:32.507
