PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME
1,12.81,12.81,2,12.97,12.97,3,13.07,13.07,4,13.29,13.29
1,10.36,23.17,3,10.28,23.25,2,10.15,23.22,4,10.13,23.42
2,9.63,32.80,3,9.70,32.95,1,9.56,32.78,4,9.57,32.99
1,9.59,42.39,3,9.66,42.61,2,9.62,42.40,4,9.74,42.73
1,9.48,51.87,3,9.49,52.10,2,9.61,52.01,4,9.45,52.18
1,9.68,1:01.55,4,9.71,1:01.81,3,9.69,1:01.70,2,9.45,1:01.63
2,9.50,1:11.05,4,9.54,1:11.35,3,9.51,1:11.21,1,9.05,1:10.68
2,9.44,1:20.49,4,9.56,1:20.91,3,9.41,1:20.62,1,9.43,1:20.11
2,9.72,1:30.206,4,9.67,1:30.571,3,9.88,1:30.495,1,9.84,1:29.951
