CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Emily SCOTT POSITION,Emily SCOTT LAP TIME,Emily SCOTT ELAPSED TIME,ZHANG Hui POSITION,ZHANG Hui LAP TIME,ZHANG Hui ELAPSED TIME,Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME
1,9.42,9.42,3,9.57,9.57,5,9.81,9.81,2,9.44,9.44,4,9.69,9.69,6,9.93,9.93
2,12.44,21.86,3,12.40,21.97,5,12.38,22.19,1,12.26,21.70,4,12.41,22.10,6,12.34,22.27
3,13.07,34.93,4,13.16,35.13,5,13.03,35.22,2,13.08,34.78,1,12.37,34.47,6,13.07,35.34
3,11.49,46.42,5,11.45,46.58,6,11.48,46.70,4,11.68,46.46,1,11.77,46.24,2,10.93,46.27
3,10.70,57.12,4,10.65,57.23,6,10.77,57.47,5,10.89,57.35,2,10.76,57.00,1,10.63,56.90
3,11.11,1:08.23,4,11.08,1:08.31,6,11.10,1:08.57,5,11.11,1:08.46,2,11.19,1:08.19,1,11.27,1:08.17
1,9.69,1:17.92,4,10.17,1:18.48,6,10.16,1:18.73,5,10.18,1:18.64,2,9.90,1:18.09,3,10.19,1:18.36
1,10.16,1:28.08,4,9.89,1:28.37,6,9.86,1:28.59,5,9.87,1:28.51,2,10.08,1:28.17,3,9.90,1:28.26
1,9.86,1:37.94,4,9.87,1:38.24,6,9.84,1:38.43,5,9.81,1:38.32,2,9.86,1:38.03,3,9.88,1:38.14
2,9.77,1:47.71,4,9.64,1:47.88,6,9.65,1:48.08,5,9.68,1:48.00,1,9.50,1:47.53,3,9.65,1:47.79
2,9.63,1:57.34,4,9.60,1:57.48,6,9.70,1:57.78,5,9.64,1:57.64,1,9.74,1:57.27,3,9.58,1:57.37
5,25.82,2:23.16,2,9.91,2:07.39,1,9.44,2:07.22,4,9.78,2:07.42,3,10.13,2:07.40,6,37.66,2:35.03
5,31.25,2:54.41,4,10.90,2:18.29,1,10.15,2:17.37,2,10.12,2:17.54,3,10.41,2:17.81,6,27.39,3:02.42
5,16.92,3:11.325,4,11.50,2:29.790,1,10.08,2:27.447,2,10.09,2:27.627,3,10.26,2:28.063,0,,PEN
