Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,Necmettin Berk YETISKEN POSITION,Necmettin Berk YETISKEN LAP TIME,Necmettin Berk YETISKEN ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME
2,14.47,14.47,1,14.23,14.23,3,14.63,14.63,4,14.74,14.74
2,11.16,25.63,1,11.26,25.49,3,11.15,25.78,4,11.14,25.88
2,10.74,36.37,1,10.78,36.27,3,10.71,36.49,4,10.69,36.57
2,10.57,46.94,1,10.57,46.84,3,10.58,47.07,4,10.61,47.18
3,10.42,57.36,1,10.44,57.28,2,10.25,57.32,4,10.34,57.52
4,10.10,1:07.46,2,9.83,1:07.11,1,9.50,1:06.82,3,9.77,1:07.29
4,9.45,1:16.91,2,9.44,1:16.55,1,9.25,1:16.07,3,9.60,1:16.89
4,9.79,1:26.70,2,9.53,1:26.08,1,9.21,1:25.28,3,9.71,1:26.60
2,9.67,1:36.362,1,9.79,1:35.870,0,,PEN,3,10.03,1:36.622
