Artem KHMELIVSKYI POSITION,Artem KHMELIVSKYI LAP TIME,Artem KHMELIVSKYI ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,CHU Sidney K POSITION,CHU Sidney K LAP TIME,CHU Sidney K ELAPSED TIME
5,13.30,13.30,3,12.94,12.94,1,12.66,12.66,2,12.79,12.79,4,13.10,13.10
5,9.38,22.68,3,9.46,22.40,1,9.53,22.19,2,9.51,22.30,4,9.45,22.55
5,9.50,32.18,3,9.48,31.88,1,9.47,31.66,2,9.50,31.80,4,9.53,32.08
5,9.56,41.74,3,9.36,41.24,1,9.37,41.03,2,9.36,41.16,4,9.50,41.58
4,9.47,51.21,3,9.34,50.58,1,9.31,50.34,2,9.32,50.48,5,9.97,51.55
4,9.69,1:00.90,3,9.19,59.77,1,9.23,59.57,2,9.19,59.67,5,10.14,1:01.69
4,10.03,1:10.93,3,9.12,1:08.89,1,9.09,1:08.66,2,9.10,1:08.77,5,10.65,1:12.34
4,10.48,1:21.41,3,9.16,1:18.05,1,9.13,1:17.79,2,9.16,1:17.93,5,23.21,1:35.55
4,10.78,1:32.19,3,9.30,1:27.35,1,9.36,1:27.15,2,9.33,1:27.26,5,16.30,1:51.85
