Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME
1,6.97,6.97,5,7.51,7.51,3,7.11,7.11,2,6.99,6.99,4,7.19,7.19
2,9.18,16.15,5,9.11,16.62,3,9.08,16.19,1,8.78,15.77,4,9.20,16.39
2,8.58,24.73,5,8.79,25.41,3,8.79,24.98,1,8.48,24.25,4,8.81,25.20
2,8.63,33.36,5,8.95,34.36,3,8.68,33.66,1,8.77,33.02,4,9.04,34.24
2,8.83,42.19,5,9.26,43.62,3,8.89,42.55,1,9.09,42.11,4,9.32,43.56
