van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
3,14.10,14.10,2,13.96,13.96,1,13.84,13.84,4,14.16,14.16
3,10.40,24.50,2,10.48,24.44,1,10.48,24.32,4,10.38,24.54
4,9.74,34.24,2,9.64,34.08,3,9.82,34.14,1,9.33,33.87
4,9.63,43.87,3,9.66,43.74,2,9.59,43.73,1,9.78,43.65
4,10.02,53.89,3,10.03,53.77,2,9.92,53.65,1,9.98,53.63
4,10.03,1:03.92,3,10.05,1:03.82,2,10.05,1:03.70,1,9.99,1:03.62
4,9.93,1:13.85,3,9.94,1:13.76,2,9.96,1:13.66,1,9.98,1:13.60
3,9.71,1:23.56,1,9.58,1:23.34,4,10.03,1:23.69,2,9.87,1:23.47
3,9.68,1:33.235,1,9.83,1:33.170,4,9.97,1:33.654,2,9.76,1:33.228
