Jason CLAGUE POSITION,Jason CLAGUE LAP TIME,Jason CLAGUE ELAPSED TIME,REN Haobo POSITION,REN Haobo LAP TIME,REN Haobo ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,9.48,9.48,3,9.69,9.69,1,9.33,9.33,5,9.94,9.94,4,9.81,9.81,6,10.10,10.10
2,12.51,21.99,3,12.43,22.12,1,12.50,21.83,5,12.50,22.44,4,12.45,22.26,6,12.47,22.57
2,11.42,33.41,3,11.40,33.52,1,11.45,33.28,6,11.38,33.82,4,11.41,33.67,5,11.18,33.75
3,11.07,44.48,4,11.12,44.64,2,11.09,44.37,6,11.19,45.01,5,11.16,44.83,1,10.51,44.26
4,10.58,55.06,3,10.41,55.05,2,10.60,54.97,6,10.35,55.36,5,10.37,55.20,1,10.65,54.91
4,10.10,1:05.16,1,9.72,1:04.77,3,10.02,1:04.99,6,10.06,1:05.42,5,9.97,1:05.17,2,9.98,1:04.89
5,9.98,1:15.14,2,10.02,1:14.79,3,9.91,1:14.90,6,9.89,1:15.31,4,9.85,1:15.02,1,9.85,1:14.74
5,9.84,1:24.98,1,9.70,1:24.49,3,9.78,1:24.68,6,9.81,1:25.12,4,9.81,1:24.83,2,9.78,1:24.52
5,9.49,1:34.47,1,9.42,1:33.91,3,9.44,1:34.12,6,9.45,1:34.57,4,9.41,1:34.24,2,9.52,1:34.04
5,9.43,1:43.90,1,9.48,1:43.39,4,9.73,1:43.85,6,9.44,1:44.01,3,9.42,1:43.66,2,9.57,1:43.61
6,9.79,1:53.69,1,9.52,1:52.91,4,9.47,1:53.32,5,9.44,1:53.45,3,9.47,1:53.13,2,9.42,1:53.03
6,9.85,2:03.54,2,9.64,2:02.55,3,9.28,2:02.60,5,9.34,2:02.79,4,9.58,2:02.71,1,9.44,2:02.47
6,10.22,2:13.76,2,9.60,2:12.15,4,9.76,2:12.36,3,9.48,2:12.27,5,9.66,2:12.37,1,9.54,2:12.01
6,10.80,2:24.56,2,9.74,2:21.89,5,10.53,2:22.89,3,9.71,2:21.98,4,9.92,2:22.29,1,9.74,2:21.75
