Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME
0,8.435,8.435,0,8.666,8.666,0,8.608,8.608,0,8.767,8.767,0,8.120,8.120,0,8.783,8.783,0,9.067,9.067
0,11.721,20.156,0,11.814,20.480,0,11.839,20.447,0,11.661,20.428,0,11.856,19.976,0,12.109,20.892,0,11.892,20.959
0,11.117,31.274,0,11.197,31.677,0,11.170,31.617,0,11.273,31.701,0,11.171,31.147,0,10.379,31.271,0,11.088,32.047
0,10.013,41.286,0,9.918,41.595,0,10.035,41.651,0,9.554,41.256,0,9.810,40.956,0,9.930,41.201,0,9.522,41.569
0,10.048,51.335,0,9.966,51.561,0,9.827,51.479,0,9.880,51.136,0,9.394,50.351,0,10.040,51.241,0,9.916,51.485
0,10.176,1:01.511,0,10.141,1:01.702,0,10.398,1:01.877,0,10.168,1:01.304,0,10.406,1:00.757,0,10.143,1:01.384,0,10.251,1:01.736
0,9.920,1:11.431,0,10.209,1:11.911,0,9.477,1:11.354,0,10.018,1:11.321,0,10.139,1:10.896,0,9.861,1:11.245,0,10.039,1:11.774
0,9.543,1:20.974,0,9.503,1:21.414,0,9.282,1:20.636,0,9.570,1:20.891,0,9.640,1:20.536,0,9.511,1:20.756,0,9.301,1:21.075
0,9.457,1:30.431,0,9.791,1:31.205,0,9.835,1:30.471,0,9.797,1:30.688,0,9.667,1:30.203,0,9.925,1:30.681,0,9.933,1:31.008
0,9.601,1:40.032,0,9.521,1:40.726,0,9.512,1:39.982,0,9.550,1:40.238,0,9.749,1:39.952,0,9.361,1:40.042,0,9.526,1:40.534
0,9.215,1:49.247,0,9.286,1:50.012,0,9.365,1:49.347,0,9.362,1:49.600,0,9.431,1:49.383,0,9.454,1:49.496,0,9.217,1:49.751
0,9.473,1:58.720,0,9.276,1:59.288,0,9.371,1:58.718,0,9.382,1:58.982,0,9.295,1:58.678,0,9.521,1:59.017,0,9.788,1:59.539
0,9.546,2:08.266,0,9.384,2:08.672,0,9.531,2:08.250,0,9.633,2:08.615,0,9.782,2:08.459,0,9.331,2:08.348,0,9.699,2:09.238
0,9.902,2:18.168,0,9.808,2:18.480,0,11.050,2:19.300,0,9.908,2:18.523,0,9.870,2:18.329,0,9.994,2:18.342,0,9.960,2:19.199
