START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,START_POS_9 POSITION,START_POS_9 LAP TIME,START_POS_9 ELAPSED TIME,season,competition,event,gender,round,race
1,8.94,8.94,3,9.21,9.21,2,9.08,9.08,5,9.32,9.32,6,9.51,9.51,8,9.68,9.68,4,9.27,9.27,7,9.63,9.63,9,9.83,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Rep.Semifinals,1
3,12.25,21.19,5,12.29,21.50,4,12.23,21.31,6,12.30,21.62,8,12.38,21.89,7,12.09,21.77,1,11.76,21.03,9,12.37,22.00,2,11.23,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Rep.Semifinals,1
3,10.88,32.07,5,10.80,32.30,4,10.86,32.17,6,10.77,32.39,9,10.83,32.72,7,10.78,32.55,2,10.95,31.98,8,10.56,32.56,1,10.82,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Rep.Semifinals,1
5,10.28,42.35,6,10.25,42.55,3,10.04,42.21,7,10.23,42.62,9,10.30,43.02,8,10.25,42.80,3,10.23,42.21,1,9.49,42.05,2,10.20,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Rep.Semifinals,1
4,9.55,51.90,6,9.55,52.10,1,9.46,51.67,7,9.58,52.20,9,9.49,52.51,8,9.53,52.33,4,9.69,51.90,2,9.67,51.72,3,9.74,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Rep.Semifinals,1
2,9.15,1:01.05,6,9.35,1:01.45,3,9.43,1:01.10,7,9.38,1:01.58,9,9.41,1:01.92,8,9.38,1:01.71,4,9.35,1:01.25,1,9.29,1:01.01,5,9.51,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Rep.Semifinals,1
1,9.19,1:10.24,6,9.31,1:10.76,5,9.49,1:10.59,7,9.26,1:10.84,9,9.21,1:11.13,8,9.28,1:10.99,3,9.23,1:10.48,2,9.37,1:10.38,4,9.24,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Rep.Semifinals,1
1,9.43,1:19.67,6,9.37,1:20.13,5,9.39,1:19.98,7,9.43,1:20.27,9,9.37,1:20.50,8,9.39,1:20.38,2,9.35,1:19.83,4,9.54,1:19.92,3,9.33,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Rep.Semifinals,1
1,9.50,1:29.17,6,9.54,1:29.67,4,9.47,1:29.45,8,9.53,1:29.80,9,9.45,1:29.95,6,9.29,1:29.67,2,9.44,1:29.27,5,9.63,1:29.55,3,9.42,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Rep.Semifinals,1
1,9.53,1:38.70,7,9.64,1:39.31,4,9.54,1:38.99,8,9.59,1:39.39,9,9.56,1:39.51,6,9.55,1:39.22,2,9.53,1:38.80,5,9.54,1:39.09,3,9.57,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Rep.Semifinals,1
3,9.53,1:48.23,7,9.34,1:48.65,4,9.36,1:48.35,8,9.35,1:48.74,9,9.46,1:48.97,6,9.33,1:48.55,1,9.33,1:48.13,5,9.33,1:48.42,2,9.32,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Rep.Semifinals,1
2,9.69,1:57.92,6,9.40,1:58.05,1,9.44,1:57.79,5,9.27,1:58.01,9,9.30,1:58.27,6,9.50,1:58.05,8,9.99,1:58.12,4,9.56,1:57.98,2,9.71,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Rep.Semifinals,1
8,36.21,2:34.13,7,28.27,2:26.32,1,9.76,2:07.55,6,10.33,2:08.34,3,9.80,2:08.07,2,9.66,2:07.71,4,10.13,2:08.25,9,38.94,2:36.92,5,10.40,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Rep.Semifinals,1
8,18.61,2:52.74,6,13.44,2:39.743,0,,PHOTO,5,9.77,2:18.077,3,9.64,2:17.71,0,,PHOTO,4,9.80,2:18.032,9,20.90,2:57.82,6,11.16,,2015-2016,ISU World Cup 2015/16 - Shanghai (CHN),1500m(2),m,Rep.Semifinals,1
