MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,Miwako YAMAURA POSITION,Miwako YAMAURA LAP TIME,Miwako YAMAURA ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME
1,7.65,7.65,3,8.02,8.02,2,7.76,7.76
1,9.82,17.47,3,9.78,17.80,2,9.79,17.55
2,9.31,26.78,3,9.32,27.12,1,9.07,26.62
2,9.30,36.08,3,9.46,36.58,1,9.24,35.86
2,9.48,45.557,3,9.81,46.388,1,9.47,45.328
