Camille de SERRES-RAINVILLE POSITION,Camille de SERRES-RAINVILLE LAP TIME,Camille de SERRES-RAINVILLE ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME,Patrycja MARKIEWICZ POSITION,Patrycja MARKIEWICZ LAP TIME,Patrycja MARKIEWICZ ELAPSED TIME,Yuliia BERESNEVA POSITION,Yuliia BERESNEVA LAP TIME,Yuliia BERESNEVA ELAPSED TIME
1,9.99,9.99,2,10.12,10.12,4,10.32,10.32,5,10.44,10.44,6,10.57,10.57,7,10.67,10.67,3,10.13,10.13
5,14.11,24.10,7,14.02,24.14,3,13.66,23.98,2,13.52,23.96,4,13.45,24.02,6,13.44,24.11,1,13.71,23.84
7,13.22,37.32,6,13.02,37.16,5,13.04,37.02,3,12.81,36.77,4,12.89,36.91,1,12.41,36.52,2,12.79,36.63
7,12.93,50.25,6,12.93,50.09,5,12.96,49.98,3,12.82,49.59,4,12.88,49.79,2,12.91,49.43,1,12.65,49.28
2,11.31,1:01.56,6,11.83,1:01.92,7,12.06,1:02.04,4,12.14,1:01.73,5,12.05,1:01.84,3,12.21,1:01.64,1,12.25,1:01.53
1,10.39,1:11.95,6,10.35,1:12.27,7,10.30,1:12.34,3,10.27,1:12.00,5,10.35,1:12.19,4,10.44,1:12.08,2,10.46,1:11.99
2,10.43,1:22.38,6,10.48,1:22.75,7,10.54,1:22.88,1,10.26,1:22.26,5,10.47,1:22.66,4,10.44,1:22.52,3,10.44,1:22.43
4,10.35,1:32.73,5,10.02,1:32.77,7,10.00,1:32.88,2,10.24,1:32.50,1,9.83,1:32.49,5,10.25,1:32.77,3,10.20,1:32.63
4,9.28,1:42.01,5,9.32,1:42.09,7,9.53,1:42.41,2,9.34,1:41.84,1,9.24,1:41.73,6,9.51,1:42.28,3,9.28,1:41.91
3,9.44,1:51.45,5,9.46,1:51.55,7,9.36,1:51.77,4,9.66,1:51.50,1,9.53,1:51.26,6,9.44,1:51.72,2,9.48,1:51.39
3,9.50,2:00.95,4,9.49,2:01.04,7,9.85,2:01.62,5,9.65,2:01.15,1,9.54,2:00.80,6,9.59,2:01.31,2,9.50,2:00.89
2,9.60,2:10.55,4,9.74,2:10.78,7,9.73,2:11.35,5,9.66,2:10.81,1,9.65,2:10.45,6,9.72,2:11.03,3,9.76,2:10.65
2,9.78,2:20.33,4,9.72,2:20.50,7,9.84,2:21.19,5,9.96,2:20.77,1,9.78,2:20.23,6,9.92,2:20.95,3,9.78,2:20.43
0,9.92,2:30.25,4,9.99,2:30.499,7,10.21,2:31.401,5,9.83,2:30.608,0,10.04,2:30.27,6,10.21,2:31.161,3,9.96,2:30.390
