Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Rei TOYOFUKU POSITION,Rei TOYOFUKU LAP TIME,Rei TOYOFUKU ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME
2,10.82,10.82,5,11.40,11.40,1,10.69,10.69,4,11.20,11.20,6,11.55,11.55,3,11.01,11.01
2,15.27,26.09,5,15.27,26.67,1,15.23,25.92,4,15.28,26.48,6,15.31,26.86,3,15.30,26.31
2,13.88,39.97,4,13.52,40.19,1,13.83,39.75,5,13.74,40.22,6,13.56,40.42,3,13.79,40.10
4,12.09,52.06,1,11.66,51.85,3,12.29,52.04,5,12.10,52.32,6,12.04,52.46,2,11.84,51.94
4,10.65,1:02.71,1,10.63,1:02.48,2,10.49,1:02.53,6,10.72,1:03.04,5,10.45,1:02.91,3,10.66,1:02.60
4,9.56,1:12.27,1,9.51,1:11.99,3,9.64,1:12.17,6,9.45,1:12.49,5,9.48,1:12.39,2,9.47,1:12.07
6,9.72,1:21.99,1,9.73,1:21.72,4,9.73,1:21.90,5,9.49,1:21.98,2,9.39,1:21.78,3,9.73,1:21.80
6,9.29,1:31.28,2,9.14,1:30.86,5,9.15,1:31.05,4,9.02,1:31.00,1,9.00,1:30.78,3,9.15,1:30.95
6,9.21,1:40.49,2,9.23,1:40.09,4,9.19,1:40.24,5,9.35,1:40.35,1,9.22,1:40.00,3,9.20,1:40.15
6,9.55,1:50.04,2,9.41,1:49.50,4,9.36,1:49.60,5,9.40,1:49.75,1,9.39,1:49.39,3,9.43,1:49.58
5,9.66,1:59.70,2,9.39,1:58.89,4,9.85,1:59.45,6,10.12,1:59.87,1,9.39,1:58.78,3,9.55,1:59.13
5,9.66,2:09.36,2,9.35,2:08.24,4,9.62,2:09.07,6,10.18,2:10.05,1,9.35,2:08.13,3,9.42,2:08.55
5,9.89,2:19.25,2,9.39,2:17.63,4,10.08,2:19.15,6,10.37,2:20.42,1,9.32,2:17.45,3,9.59,2:18.14
5,10.46,2:29.710,2,9.66,2:27.284,4,10.42,2:29.567,6,10.85,2:31.265,1,9.66,2:27.106,3,9.85,2:27.985
