ZHANG Zhiqiang POSITION,ZHANG Zhiqiang LAP TIME,ZHANG Zhiqiang ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Gregory DURAND POSITION,Gregory DURAND LAP TIME,Gregory DURAND ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
2,13.468,13.468,1,13.435,13.435,3,13.602,13.602,4,13.799,13.799
2,10.420,23.888,1,10.385,23.820,4,10.528,24.129,3,10.272,24.071
2,9.581,33.468,1,9.612,33.432,3,9.476,33.605,4,9.585,33.655
1,9.466,42.934,2,9.539,42.971,3,9.577,43.182,4,9.527,43.183
1,9.190,52.124,2,9.235,52.206,4,9.248,52.430,3,9.217,52.399
1,9.239,1:01.363,2,9.241,1:01.447,3,9.147,1:01.577,4,9.263,1:01.663
2,9.196,1:10.559,1,9.091,1:10.538,4,9.321,1:10.898,3,9.129,1:10.792
2,9.240,1:19.799,1,9.170,1:19.708,4,9.516,1:20.415,3,9.285,1:20.077
2,9.233,1:29.031,1,9.310,1:29.018,4,9.880,1:30.294,3,9.232,1:29.308
