KANCHARIN Natthapat POSITION,KANCHARIN Natthapat LAP TIME,KANCHARIN Natthapat ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,NOGRADI Bence POSITION,NOGRADI Bence LAP TIME,NOGRADI Bence ELAPSED TIME,MOODY Jonathan POSITION,MOODY Jonathan LAP TIME,MOODY Jonathan ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME
4,13.97,13.97,1,13.86,13.86,3,13.94,13.94,5,14.15,14.15,1,13.86,13.86,6,14.28,14.28
1,9.65,23.62,4,10.30,24.16,3,10.09,24.03,5,10.13,24.28,2,10.04,23.90,6,10.12,24.40
1,10.08,33.70,4,9.86,34.02,3,9.90,33.93,5,9.86,34.14,2,9.82,33.72,6,9.80,34.20
2,9.74,43.44,4,9.65,43.67,3,9.59,43.52,5,9.66,43.80,1,9.63,43.35,6,9.66,43.86
4,9.90,53.34,3,9.57,53.24,1,9.43,52.95,6,9.73,53.53,2,9.74,53.09,5,9.54,53.40
5,9.50,1:02.84,3,9.42,1:02.66,1,9.49,1:02.44,6,9.52,1:03.05,2,9.47,1:02.56,4,9.43,1:02.83
6,9.43,1:12.27,3,9.33,1:11.99,1,9.12,1:11.56,5,9.21,1:12.26,2,9.35,1:11.91,4,9.26,1:12.09
6,9.55,1:21.82,4,9.47,1:21.46,1,9.20,1:20.76,5,9.24,1:21.50,2,9.41,1:21.32,3,9.27,1:21.36
6,9.53,1:31.355,5,9.85,1:31.313,0,9.33,1:30.09,4,9.50,1:31.006,3,9.53,1:30.859,0,8.73,1:30.09
