LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME
3,7.03,7.03,1,6.73,6.73,4,9.14,9.14,2,7.00,7.00
3,9.19,16.22,2,9.27,16.00,1,6.83,15.98,4,9.23,16.23
3,8.61,24.83,2,8.76,24.76,1,8.66,24.65,4,8.90,25.13
1,8.45,33.29,2,8.91,33.68,4,21.70,46.36,3,8.96,34.10
3,31.88,1:05.168,0,,DQ,2,13.72,1:00.076,1,9.08,43.173
