Maureen de LANGE POSITION,Maureen de LANGE LAP TIME,Maureen de LANGE ELAPSED TIME,Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Anouk LEBLANC-BOUCHER POSITION,Anouk LEBLANC-BOUCHER LAP TIME,Anouk LEBLANC-BOUCHER ELAPSED TIME,Mika OZAWA POSITION,Mika OZAWA LAP TIME,Mika OZAWA ELAPSED TIME,CHENG Xiao Lei POSITION,CHENG Xiao Lei LAP TIME,CHENG Xiao Lei ELAPSED TIME
3,8.588,8.588,4,8.627,8.627,6,8.743,8.743,2,8.537,8.537,5,8.698,8.698,1,8.509,8.509
6,12.156,20.743,5,12.012,20.638,4,11.877,20.619,3,11.837,20.373,1,11.271,19.968,2,11.765,20.274
2,10.714,31.457,5,11.245,31.882,6,11.301,31.920,4,11.319,31.691,1,11.347,31.315,3,11.359,31.633
2,11.555,43.011,6,11.593,43.475,5,11.541,43.461,4,11.550,43.241,1,11.581,42.896,3,11.534,43.166
2,11.274,54.285,5,11.265,54.740,6,11.300,54.761,3,11.187,54.427,1,11.347,54.242,4,11.420,54.585
2,11.141,1:05.426,6,10.853,1:05.593,4,10.789,1:05.550,3,11.040,1:05.467,1,11.085,1:05.326,5,10.988,1:05.573
2,10.488,1:15.913,6,10.724,1:16.316,1,10.038,1:15.587,4,10.668,1:16.135,3,10.676,1:16.002,5,10.603,1:16.175
3,10.203,1:26.115,6,10.094,1:26.410,1,10.259,1:25.846,4,10.177,1:26.311,2,10.092,1:26.093,5,10.137,1:26.312
5,10.786,1:36.900,6,10.522,1:36.932,4,10.825,1:36.671,3,10.325,1:36.636,2,10.513,1:36.606,1,10.121,1:36.433
6,10.077,1:46.976,4,9.830,1:46.761,5,10.151,1:46.821,2,9.823,1:46.459,3,10.043,1:46.648,1,10.016,1:46.449
6,10.194,1:57.170,4,10.021,1:56.781,5,10.167,1:56.988,1,9.883,1:56.341,3,9.933,1:56.581,2,10.036,1:56.484
6,10.276,2:07.445,4,10.161,2:06.942,5,10.039,2:07.027,1,9.966,2:06.306,2,10.035,2:06.616,3,10.168,2:06.651
6,10.841,2:18.286,4,10.428,2:17.369,5,10.537,2:17.563,1,10.323,2:16.628,3,10.296,2:16.912,2,10.234,2:16.885
6,11.76,2:30.043,4,11.01,2:28.373,5,10.95,2:28.507,2,10.49,2:27.113,3,10.63,2:27.533,1,10.04,2:26.925
