USATOVA Alina POSITION,USATOVA Alina LAP TIME,USATOVA Alina ELAPSED TIME,JEON Yu Min POSITION,JEON Yu Min LAP TIME,JEON Yu Min ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,DOSKOVIC Mia POSITION,DOSKOVIC Mia LAP TIME,DOSKOVIC Mia ELAPSED TIME,SOMOGYI Barbara POSITION,SOMOGYI Barbara LAP TIME,SOMOGYI Barbara ELAPSED TIME
1,13.69,13.69,3,14.04,14.04,4,14.26,14.26,5,14.46,,2,13.87,13.87
1,10.54,24.23,3,10.46,24.50,4,10.37,24.63,5,10.23,,2,10.52,24.39
1,10.64,34.87,3,10.66,35.16,4,10.66,35.29,5,10.72,,2,10.60,34.99
1,10.22,45.09,3,10.16,45.32,4,10.14,45.43,5,10.49,,2,10.26,45.25
1,10.15,55.24,3,9.98,55.30,4,9.98,55.41,5,11.34,,2,10.01,55.26
4,10.33,1:05.57,2,9.71,1:05.01,3,9.73,1:05.14,5,11.76,,1,9.60,1:04.86
4,10.69,1:16.26,1,9.41,1:14.42,3,9.56,1:14.70,5,12.54,,2,9.81,1:14.67
4,11.44,1:27.70,1,9.57,1:23.99,2,9.39,1:24.09,5,13.47,,3,10.02,1:24.69
4,11.16,1:38.86,2,10.55,1:34.54,1,9.76,1:33.85,5,14.10,,3,10.21,1:34.90
