START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,START_POS_8 POSITION,START_POS_8 LAP TIME,START_POS_8 ELAPSED TIME,START_POS_9 POSITION,START_POS_9 LAP TIME,START_POS_9 ELAPSED TIME,season,competition,event,gender,round,race
2,10.48,10.48,5,10.74,10.74,3,10.54,10.54,4,10.60,10.60,9,11.21,,1,10.32,10.32,7,10.95,10.95,6,10.75,10.75,8,11.09,11.09,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,2
4,14.02,24.50,6,14.01,24.75,3,13.76,24.30,5,13.99,24.59,9,13.78,,2,13.79,24.11,8,13.91,24.86,1,13.10,23.85,7,13.67,24.76,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,2
5,11.27,35.77,8,11.29,36.04,4,11.35,35.65,6,11.30,35.89,7,11.02,,2,11.19,35.30,8,11.18,36.04,3,11.67,35.52,1,10.44,35.20,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,2
3,10.37,46.14,9,10.48,46.52,4,10.52,46.17,7,10.40,46.29,8,10.30,,2,10.82,46.12,4,10.13,46.17,6,10.67,46.19,1,10.84,46.04,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,2
1,10.43,56.57,9,10.90,57.42,6,10.90,57.07,5,10.67,56.96,4,10.57,,7,11.13,57.25,2,10.50,56.67,8,11.13,57.32,3,10.74,56.78,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,2
1,10.91,1:07.48,9,10.72,1:08.14,5,10.77,1:07.84,8,10.97,1:07.93,4,10.88,,6,10.65,1:07.90,2,10.90,1:07.57,7,10.59,1:07.91,3,10.88,1:07.66,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,2
2,10.33,1:17.81,9,10.39,1:18.53,8,10.50,1:18.34,6,10.22,1:18.15,7,10.45,,1,9.72,1:17.62,3,10.38,1:17.95,4,10.12,1:18.03,5,10.45,1:18.11,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,2
2,9.76,1:27.57,9,9.66,1:28.19,8,9.74,1:28.08,1,9.39,1:27.54,7,9.70,,3,9.98,1:27.60,4,9.77,1:27.72,5,9.77,1:27.80,6,9.79,1:27.90,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,2
2,9.47,1:37.04,9,9.67,1:37.86,8,9.68,1:37.76,1,9.42,1:36.96,6,9.59,,4,9.72,1:37.32,3,9.44,1:37.16,5,9.53,1:37.33,7,9.73,1:37.63,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,2
1,9.26,1:46.30,6,9.32,1:47.18,5,9.12,1:46.88,2,9.48,1:46.44,,,,7,9.95,1:47.27,3,9.32,1:46.48,4,9.25,1:46.58,8,9.78,1:47.41,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,2
1,9.20,1:55.50,6,8.99,1:56.17,5,9.14,1:56.02,4,9.43,1:55.87,,,,8,10.64,1:57.91,2,9.19,1:55.67,3,9.14,1:55.72,7,10.03,1:57.44,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,2
1,9.08,2:04.58,6,9.24,2:05.41,5,9.20,2:05.22,4,9.34,2:05.21,,,,8,12.34,2:10.25,2,9.12,2:04.79,3,9.14,2:04.86,7,10.81,2:08.25,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,2
1,9.12,2:13.70,5,9.22,2:14.63,4,9.37,2:14.59,6,9.62,2:14.83,,,,8,15.65,2:25.90,2,9.01,2:13.80,3,9.01,2:13.87,7,11.06,2:19.31,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,2
1,9.23,2:22.93,4,9.22,2:23.85,5,9.85,2:24.443,6,9.69,2:24.523,,,,8,14.57,2:40.476,2,9.23,2:23.03,3,9.37,2:23.24,7,11.89,2:31.203,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,m,Semifinals,2
