BULGARIA POSITION,BULGARIA LAP TIME,BULGARIA ELAPSED TIME,RUSSIA POSITION,RUSSIA LAP TIME,RUSSIA ELAPSED TIME,HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME
3,13.36,13.36,1,13.11,13.11,2,13.17,13.17
3,10.04,23.40,1,10.09,23.20,2,10.11,23.28
3,10.12,33.52,1,10.06,33.26,2,10.13,33.41
3,9.88,43.40,1,9.90,43.16,2,9.84,43.25
3,9.90,53.30,1,9.96,53.12,2,9.95,53.20
3,10.02,1:03.32,1,9.94,1:03.06,2,9.94,1:03.14
3,10.13,1:13.45,1,10.16,1:13.22,2,10.14,1:13.28
3,9.91,1:23.36,1,9.97,1:23.19,2,9.97,1:23.25
3,9.98,1:33.34,1,9.94,1:33.13,2,10.00,1:33.25
3,9.69,1:43.03,1,9.68,1:42.81,2,9.63,1:42.88
3,9.83,1:52.86,1,9.83,1:52.64,2,9.86,1:52.74
3,9.83,2:02.69,1,9.63,2:02.27,2,9.68,2:02.42
3,9.68,2:12.37,1,9.85,2:12.12,2,9.75,2:12.17
3,9.33,2:21.70,1,9.38,2:21.50,2,9.42,2:21.59
3,9.41,2:31.11,1,9.29,2:30.79,2,9.39,2:30.98
3,9.30,2:40.41,1,9.33,2:40.12,2,9.30,2:40.28
3,9.80,2:50.21,1,9.42,2:49.54,2,9.39,2:49.67
3,9.80,3:00.01,1,9.37,2:58.91,2,9.32,2:58.99
3,9.63,3:09.64,1,9.54,3:08.45,2,9.52,3:08.51
3,9.42,3:19.06,1,9.30,3:17.75,2,9.36,3:17.87
3,9.26,3:28.32,1,9.27,3:27.02,2,9.34,3:27.21
3,9.47,3:37.79,1,9.27,3:36.29,2,9.25,3:36.46
3,9.70,3:47.49,1,9.44,3:45.73,2,9.40,3:45.86
3,10.43,3:57.92,1,9.39,3:55.12,2,9.41,3:55.27
3,10.28,4:08.20,1,9.32,4:04.44,2,9.25,4:04.52
3,10.04,4:18.24,1,9.18,4:13.62,2,9.27,4:13.79
3,9.59,4:27.83,1,9.25,4:22.87,2,9.44,4:23.23
