Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Anna ROMANOWICZ POSITION,Anna ROMANOWICZ LAP TIME,Anna ROMANOWICZ ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
1,8.37,8.37,3,8.75,8.75,2,8.69,8.69,5,8.90,8.90,4,8.75,8.75
1,12.45,20.82,4,12.56,21.31,2,12.39,21.08,3,12.38,21.28,5,12.71,21.46
1,11.77,32.59,2,11.62,32.93,3,11.88,32.96,4,11.81,33.09,5,11.81,33.27
1,11.95,44.54,3,12.13,45.06,2,12.07,45.03,4,11.97,45.06,5,12.02,45.29
1,11.91,56.45,3,11.63,56.69,5,11.93,56.96,2,11.53,56.59,4,11.49,56.78
2,10.61,1:07.06,4,10.59,1:07.28,5,10.52,1:07.48,3,10.48,1:07.07,1,10.21,1:06.99
2,10.69,1:17.75,4,10.60,1:17.88,5,10.66,1:18.14,3,10.69,1:17.76,1,10.69,1:17.68
2,10.68,1:28.43,3,10.61,1:28.49,5,10.65,1:28.79,1,10.58,1:28.34,4,10.91,1:28.59
3,10.23,1:38.66,4,10.18,1:38.67,5,10.33,1:39.12,1,10.11,1:38.45,2,9.89,1:38.48
2,10.12,1:48.78,4,10.40,1:49.07,5,10.09,1:49.21,1,10.22,1:48.67,3,10.30,1:48.78
2,10.12,1:58.90,4,10.58,1:59.65,5,10.56,1:59.77,1,10.19,1:58.86,3,10.17,1:58.95
1,10.12,2:09.02,5,11.17,2:10.82,4,10.27,2:10.04,2,10.24,2:09.10,3,10.22,2:09.17
4,10.53,2:19.55,3,8.65,2:19.47,5,10.51,2:20.55,1,10.32,2:19.42,2,10.28,2:19.45
3,10.46,2:30.006,5,15.44,2:34.908,4,10.78,2:31.321,2,10.48,2:29.892,1,10.24,2:29.686
