PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Yoan GAUTHIER POSITION,Yoan GAUTHIER LAP TIME,Yoan GAUTHIER ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
1,9.85,9.85,2,10.08,10.08,4,10.40,10.40,3,10.26,10.26,6,10.68,10.68,7,10.92,10.92,5,10.59,10.59
2,13.22,23.07,3,13.13,23.21,5,13.19,23.59,4,13.13,23.39,6,13.23,23.91,7,13.10,24.02,1,12.18,22.77
2,11.72,34.79,3,11.69,34.90,5,11.56,35.15,4,11.64,35.03,6,11.35,35.26,7,11.40,35.42,1,11.87,34.64
3,12.05,46.84,2,11.85,46.75,4,11.69,46.84,5,11.95,46.98,6,11.84,47.10,7,11.72,47.14,1,12.01,46.65
6,11.15,57.99,5,11.23,57.98,2,10.82,57.66,4,10.90,57.88,7,11.12,58.22,1,10.43,57.57,3,11.10,57.75
1,9.55,1:07.54,5,9.92,1:07.90,3,10.03,1:07.69,6,10.13,1:08.01,7,9.90,1:08.12,2,10.02,1:07.59,4,10.02,1:07.77
1,9.85,1:17.39,5,9.84,1:17.74,3,9.86,1:17.55,6,9.86,1:17.87,7,9.95,1:18.07,2,9.87,1:17.46,4,9.79,1:17.56
2,9.74,1:27.13,5,9.73,1:27.47,3,9.67,1:27.22,6,9.75,1:27.62,7,9.61,1:27.68,1,9.49,1:26.95,4,9.79,1:27.35
2,9.40,1:36.53,6,9.32,1:36.79,3,9.42,1:36.64,7,9.40,1:37.02,5,9.09,1:36.77,1,9.46,1:36.41,4,9.35,1:36.70
2,9.12,1:45.65,7,9.30,1:46.09,5,9.34,1:45.98,6,9.06,1:46.08,4,9.11,1:45.88,1,9.10,1:45.51,3,9.05,1:45.75
1,8.86,1:54.51,6,9.27,1:55.36,5,8.96,1:54.94,7,9.48,1:55.56,3,8.80,1:54.68,2,9.05,1:54.56,4,9.02,1:54.77
1,8.83,2:03.34,6,8.91,2:04.27,5,8.83,2:03.77,7,9.33,2:04.89,2,8.77,2:03.45,4,9.00,2:03.56,3,8.78,2:03.55
1,8.86,2:12.20,6,8.97,2:13.24,5,8.93,2:12.70,7,9.61,2:14.50,2,8.82,2:12.27,4,9.00,2:12.56,3,8.93,2:12.48
1,9.12,2:21.319,5,9.58,2:22.818,4,9.03,2:21.722,6,10.43,2:24.930,2,9.15,2:21.419,0,,PEN,3,9.24,2:21.711
