Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Jakov DOMITREK POSITION,Jakov DOMITREK LAP TIME,Jakov DOMITREK ELAPSED TIME
1,8.68,8.68,3,8.78,8.78,5,8.86,8.86,6,8.91,8.91,2,8.70,8.70,4,8.82,8.82
3,11.91,20.59,4,11.89,20.67,6,12.04,20.90,1,11.19,20.10,2,11.79,20.49,5,11.97,20.79
3,11.52,32.11,4,11.52,32.19,6,11.53,32.43,1,11.80,31.90,2,11.52,32.01,5,11.50,32.29
3,12.20,44.31,4,12.19,44.38,6,12.18,44.61,1,12.16,44.06,2,12.18,44.19,5,12.20,44.49
3,12.38,56.69,4,12.42,56.80,6,12.43,57.04,2,12.50,56.56,1,12.28,56.47,5,12.41,56.90
3,12.13,1:08.82,4,12.09,1:08.89,6,12.08,1:09.12,1,12.03,1:08.59,2,12.22,1:08.69,5,12.09,1:08.99
2,11.16,1:19.98,4,11.28,1:20.17,5,11.09,1:20.21,3,11.47,1:20.06,1,11.16,1:19.85,6,11.32,1:20.31
1,9.66,1:29.64,4,9.82,1:29.99,6,10.12,1:30.33,3,9.81,1:29.87,2,9.91,1:29.76,5,9.91,1:30.22
3,9.55,1:39.19,2,9.12,1:39.11,6,9.51,1:39.84,4,9.43,1:39.30,1,9.26,1:39.02,5,9.49,1:39.71
2,8.90,1:48.09,1,8.83,1:47.94,6,9.64,1:49.48,4,9.04,1:48.34,3,9.17,1:48.19,5,9.51,1:49.22
2,8.68,1:56.77,1,8.70,1:56.64,6,9.93,1:59.41,4,9.04,1:57.38,3,8.75,1:56.94,5,9.76,1:58.98
2,8.73,2:05.50,1,8.78,2:05.42,6,10.31,2:09.72,4,9.28,2:06.66,3,8.80,2:05.74,5,10.16,2:09.14
2,8.98,2:14.48,1,8.95,2:14.37,6,10.79,2:20.51,4,9.60,2:16.26,3,9.02,2:14.76,5,10.60,2:19.74
2,9.22,2:23.695,1,9.28,2:23.650,6,11.36,2:31.866,4,9.87,2:26.129,3,9.37,2:24.123,5,11.02,2:30.751
