HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,Sandra TRUSOVA POSITION,Sandra TRUSOVA LAP TIME,Sandra TRUSOVA ELAPSED TIME
3,8.09,8.09,1,7.79,7.79,2,7.93,7.93,4,8.23,8.23
3,9.97,18.06,1,9.99,17.78,2,9.99,17.92,4,9.95,18.18
3,9.24,27.30,1,9.39,27.17,2,9.37,27.29,4,9.43,27.61
1,9.41,36.71,2,9.58,36.75,3,9.58,36.87,4,9.59,37.20
1,9.71,46.411,2,9.82,46.554,3,9.75,46.598,4,9.81,46.989
