SIGULENKOVA Yelisavata POSITION,SIGULENKOVA Yelisavata LAP TIME,SIGULENKOVA Yelisavata ELAPSED TIME,Karin SCHMID POSITION,Karin SCHMID LAP TIME,Karin SCHMID ELAPSED TIME,Maria GARCIA POSITION,Maria GARCIA LAP TIME,Maria GARCIA ELAPSED TIME,Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME
5,9.349,9.349,4,9.346,9.346,2,9.160,9.160,1,9.069,9.069,3,9.168,9.168
5,13.630,22.978,2,13.326,22.672,1,13.335,22.494,3,13.619,22.687,4,13.585,22.753
5,12.774,35.751,4,13.022,35.694,1,12.822,35.316,3,12.946,35.632,2,12.584,35.337
5,13.050,48.801,4,12.821,48.514,2,13.057,48.372,3,12.849,48.481,1,12.953,48.289
4,12.720,1:01.520,5,13.029,1:01.543,1,12.702,1:01.074,3,12.783,1:01.264,2,12.840,1:01.129
5,12.903,1:14.423,4,12.838,1:14.381,1,12.869,1:13.943,3,12.870,1:14.134,2,12.909,1:14.037
4,12.765,1:27.188,5,12.867,1:27.247,1,12.566,1:26.508,2,12.625,1:26.758,3,12.803,1:26.840
5,11.854,1:39.042,4,10.745,1:37.992,2,10.828,1:37.336,1,10.384,1:37.142,3,10.717,1:37.556
5,12.022,1:51.064,4,10.539,1:48.530,2,10.726,1:48.061,1,10.907,1:48.048,3,10.701,1:48.257
5,12.837,2:03.900,4,11.312,1:59.842,2,11.339,1:59.400,1,11.305,1:59.353,3,11.154,1:59.410
5,13.117,2:17.017,4,11.536,2:11.378,1,11.188,2:10.587,2,11.331,2:10.683,3,11.670,2:11.080
5,13.467,2:30.483,4,10.699,2:22.077,2,11.051,2:21.637,1,10.895,2:21.577,3,10.836,2:21.915
5,14.500,2:44.983,4,10.707,2:32.783,1,10.532,2:32.169,3,11.090,2:32.667,2,10.732,2:32.646
5,13.75,2:58.732,3,10.79,2:43.573,1,10.75,2:42.919,2,10.74,2:43.407,4,11.01,2:43.655
