Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,LEE Seonghun POSITION,LEE Seonghun LAP TIME,LEE Seonghun ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
3,7.13,7.13,1,6.95,6.95,4,7.26,7.26,2,7.05,7.05
3,9.14,16.27,1,8.97,15.92,4,9.07,16.33,2,9.06,16.11
3,8.60,24.87,1,8.48,24.40,4,8.63,24.96,2,8.68,24.79
2,8.61,33.48,1,8.62,33.02,3,8.62,33.58,4,8.90,33.69
2,8.88,42.36,1,8.91,41.93,3,8.86,42.44,4,8.97,42.645
