Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Jordan MALONE POSITION,Jordan MALONE LAP TIME,Jordan MALONE ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME
2,13.570,13.570,1,13.510,13.510,3,13.660,13.660,4,13.740,13.740
2,10.340,23.920,1,10.310,23.830,4,10.360,24.030,3,10.230,23.980
2,10.110,34.030,3,10.290,34.130,4,10.470,34.510,1,10.040,34.020
3,9.840,43.870,2,9.680,43.820,4,9.540,44.050,1,9.750,43.770
3,9.670,53.550,2,9.670,53.500,4,9.700,53.760,1,9.550,53.330
2,9.350,1:02.900,3,9.430,1:02.930,4,9.340,1:03.100,1,9.530,1:02.860
1,9.280,1:12.190,2,9.280,1:12.220,4,9.510,1:12.620,3,9.540,1:12.410
2,9.270,1:21.460,1,9.030,1:21.250,4,9.290,1:21.910,3,9.360,1:21.770
2,9.230,1:30.700,1,9.300,1:30.550,3,8.920,1:30.840,4,9.880,1:31.650
