SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
3,7.61,7.61,1,7.24,7.24,2,7.52,7.52,4,7.76,7.76
3,9.34,16.95,1,9.31,16.55,2,9.33,16.85,4,9.41,17.17
2,8.55,25.50,1,8.88,25.43,3,8.77,25.62,4,8.87,26.04
1,8.80,34.30,2,8.90,34.33,3,8.87,34.49,4,9.01,35.05
1,8.93,43.222,2,9.06,43.390,3,9.08,43.565,4,9.31,44.355
